QueryID,Tables,lpbound_Estimate
1,MC T,1334882.9999999995
1,MI_IDX T,250.0
1,MC MI_IDX,7017.850235085449
1,MC MI_IDX T,7017.850235085449
2,MC T,1170183.9999999984
2,MI_IDX T,9.999999999999998
2,MC MI_IDX,564.0506156741995
2,MC MI_IDX T,564.0506156741995
3,MC T,409250.9999999998
3,MI_IDX T,250.0
3,MC MI_IDX,7017.850235085449
3,MC MI_IDX T,7017.850235085449
4,MC T,1334882.9999999995
4,MI_IDX T,9.999999999999998
4,MC MI_IDX,564.0506156741995
4,MC MI_IDX T,564.0506156741995
5,MC T,2609129.0000000005
5,MK T,41840.00000000005
5,MC MK,638953.8811275813
5,MC MK T,638953.8811275813
6,MI T,6662742.000000004
6,MK T,1855907.999999999
6,MI MK,370148895.2568964
6,MI MK T,156694631.36117053
7,MI T,2433915.0000000056
7,MK T,475877.9999999994
7,MI MK,370148895.2568964
7,MI MK T,34952033.75746094
8,MI T,9754720.0
8,MK T,2993111.999999996
8,MI MK,370148895.2568964
8,MI MK T,268777033.83462703
9,MI_IDX T,262144.0
9,MK T,1855907.999999999
9,MI_IDX MK,4523930.000000002
9,MI_IDX MK T,1855907.999999999
10,MI_IDX T,65536.0
10,MK T,475877.9999999994
10,MI_IDX MK,4523930.000000002
10,MI_IDX MK T,475877.9999999994
11,MI_IDX T,459924.99999999965
11,MK T,2993111.999999996
11,MI_IDX MK,4523930.000000002
11,MI_IDX MK T,2993112.0000000033
12,MI T,6662742.000000004
12,MC T,1117389.9999999965
12,MC MI,39397767.531991325
12,MC MI T,24880944.634056423
13,MI T,2433915.0000000056
13,MC T,409250.9999999998
13,MC MI,39397767.531991325
13,MC MI T,10698124.050084218
14,MI T,9754720.0
14,MC T,1334882.9999999995
14,MC MI,39397767.531991325
14,MC MI T,33793177.31784498
15,MK T,132.00000000000009
15,CI T,8212386.999999978
15,CI MK,81258.19871249924
15,CI MK T,77517.12934287667
16,MK T,5597.999999999995
16,CI T,41512.00000000006
16,CI MK,517128714.9602349
16,CI MK T,434318.2576304162
17,MK T,132.00000000000009
17,CI T,41512.00000000006
17,CI MK,81258.19871249924
17,CI MK T,11492.215528127661
18,MK T,132.00000000000009
18,CI T,28420861.00000001
18,CI MK,81258.19871249924
18,CI MK T,81258.19871249924
19,MK T,2993111.999999996
19,CI T,28420861.00000001
19,CI MK,517128714.9602349
19,CI MK T,378975385.2908979
20,CI T,12472084.000000011
21,CI T,1162162.9999999965
22,CI T,34227673.999999985
23,CI T,7451972.999999992
23,MC T,2609129.0000000005
23,CI MC,32912278.935953543
23,CI MC T,32912278.935953707
24,CI T,2728942.9999999986
24,MC T,2609129.0000000005
24,CI MC,13196639.115977006
24,CI MC T,13196639.115977071
25,CI T,276403.00000000006
25,MC T,2609129.0000000005
25,CI MC,2049605.846979357
25,CI MC T,2049605.846979357
26,CI T,7451972.999999973
26,MC T,1170183.9999999984
26,CI MC,32912278.935953543
26,CI MC T,23384440.178927224
27,CI T,7451972.999999992
27,MC T,828837.9999999986
27,CI MC,32912278.935953543
27,CI MC T,19548534.68465388
28,MC T,1117389.9999999965
28,CI T,12670688.000000015
28,CI MC,54458019.9675722
28,CI MC T,37740152.04639736
29,MC T,409250.9999999998
29,CI T,8212386.999999978
29,CI MC,54458019.9675722
29,CI MC T,21232915.89853117
30,MC T,1625929.9999999995
30,CI T,28420861.00000001
30,CI MC,139612320.05856952
30,CI MC T,106690522.58576445
31,MK T,10543.999999999996
31,MC T,1334882.9999999995
31,MC MK,111942.09099191049
31,MC MK T,111942.09099191049
32,MK T,10543.999999999996
32,MC T,1334882.9999999995
32,MC MK,111942.09099191049
32,MC MK T,111942.09099191049
33,MK T,4523929.999999991
33,MC T,2609129.0000000005
33,MC MK,59253999.48506835
33,MC MK T,59253999.4850682
34,MI T,1405823.164004635
34,MI_IDX T,131072.0
34,MC T,507880.9999999995
34,MI MI_IDX,1257789.6634473489
34,MC MI,3126654.078081064
34,MC MI_IDX,1143296.3862336813
34,MI MI_IDX T,528015.4320191668
34,MC MI T,2178535.0339124207
34,MC MI_IDX T,507880.9999999995
34,MC MI MI_IDX,3126654.078081064
34,MC MI MI_IDX T,2178535.033912415
35,MI T,121862.99999999993
35,MI_IDX T,9.999999999999998
35,MC T,2609129.0000000005
35,MI MI_IDX,51.54150795993229
35,MC MI,1064031.7571576568
35,MC MI_IDX,799.7557738436641
35,MI MI_IDX T,51.54150795993229
35,MC MI T,1064031.7571576543
35,MC MI_IDX T,799.7557738436641
35,MC MI MI_IDX,4122.061858356504
35,MC MI MI_IDX T,4122.061858356498
36,MI T,1533908.9999999988
36,MI_IDX T,262144.0
36,MC T,1136814.9999999977
36,MI MI_IDX,1257789.6634473489
36,MC MI,3126654.078081064
36,MC MI_IDX,1143296.3862336813
36,MI MI_IDX T,874861.9533220673
36,MC MI T,3126654.0780810565
36,MC MI_IDX T,863148.0291305771
36,MC MI MI_IDX,3126654.078081064
36,MC MI MI_IDX T,2880612.8340578815
37,MI T,3036718.9999999977
37,MC T,1220675.6491320634
37,MI_IDX T,262144.0
37,MC MI,6634572.590443996
37,MI MI_IDX,2668954.293393758
37,MC MI_IDX,1143296.3862336813
37,MC MI T,6634572.590443963
37,MI MI_IDX T,2014965.3807368502
37,MC MI_IDX T,863148.0291305771
37,MC MI MI_IDX,6634572.590443996
37,MC MI MI_IDX T,6634572.590444013
38,MI T,865011.3279981797
38,MK T,475877.9999999994
38,MI_IDX T,65536.0
38,MI MK,13918786.460718134
38,MI MI_IDX,783660.504342088
38,MI_IDX MK,4523930.000000002
38,MI MK T,2586136.319529319
38,MI MI_IDX T,213791.2377951552
38,MI_IDX MK T,475877.9999999994
38,MI MI_IDX MK,13918786.46071817
38,MI MI_IDX MK T,2586136.319529319
39,MI T,999852.3422422584
39,MK T,2886675.0
39,MI_IDX T,262144.0
39,MI MK,13918786.460718134
39,MI MI_IDX,783660.504342088
39,MI_IDX MK,4523930.000000002
39,MI MK T,11043870.138798418
39,MI MI_IDX T,538720.1615623938
39,MI_IDX MK T,2886675.0
39,MI MI_IDX MK,13918786.46071817
39,MI MI_IDX MK T,11043870.138798472
40,MI T,1325361.0000000016
40,MK T,1855907.999999999
40,MI_IDX T,262144.0
40,MI MK,13918786.460718134
40,MI MI_IDX,783660.504342088
40,MI_IDX MK,4523930.000000002
40,MI MK T,7499854.371752275
40,MI MI_IDX T,538720.1615623938
40,MI_IDX MK T,1855907.999999999
40,MI MI_IDX MK,13918786.46071817
40,MI MI_IDX MK T,7499854.3717523115
41,MI T,3036718.9999999977
41,MK T,2993111.999999996
41,MC T,1625929.9999999995
41,MI MK,63699617.68947622
41,MC MI,14932644.368911477
41,MC MK,59253999.48506835
41,MI MK T,52768661.6990113
41,MC MI T,12476173.148922607
41,MC MK T,42507172.5022795
41,MC MI MK,1545238577.9545023
41,MC MI MK T,1264006472.2955186
42,MI T,3036718.99999999
42,MK T,1970373.999999999
42,MC T,1170183.9999999984
42,MI MK,63699617.68947622
42,MC MI,14932644.368911477
42,MC MK,59253999.48506835
42,MI MK T,43144566.68216094
42,MC MI T,10609764.50878782
42,MC MK T,29555383.58713658
42,MC MI MK,1545238577.9545023
42,MC MI MK T,1020116831.7191677
43,MI T,3036718.9999999977
43,MK T,2993111.999999996
43,MC T,1625929.9999999995
43,MI MK,63699617.68947622
43,MC MI,14932644.368911477
43,MC MK,59253999.48506835
43,MI MK T,52768661.6990113
43,MC MI T,12476173.148922607
43,MC MK T,42507172.5022795
43,MC MI MK,1545238577.9545023
43,MC MI MK T,1264006472.2955186
