QueryID,Tables,postgres_Estimate
1,MC T,72
1,MI_IDX T,145
1,MC MI_IDX,121
1,MC MI_IDX T,24
2,MC T,1
2,MI_IDX T,1
2,MC MI_IDX,1
2,MC MI_IDX T,1
3,MC T,19
3,MI_IDX T,13
3,MC MI_IDX,11
3,MC MI_IDX T,27
4,MC T,60
4,MI_IDX T,1
4,MC MI_IDX,40
4,MC MI_IDX T,1
5,MC T,38439
5,MK T,40462
5,MC MK,40618
5,MC MK T,40464
6,MI T,10507674
6,MK T,10516962
6,MI MK,10634942
6,MI MK T,10651805
7,MI T,4096500
7,MK T,4009776
7,MI MK,4101213
7,MI MK T,4156400
8,MI T,18539380
8,MK T,18376601
8,MI MK,18442536
8,MI MK T,18354050
9,MI_IDX T,333361
9,MK T,329935
9,MI_IDX MK,328189
9,MI_IDX MK T,335968
10,MI_IDX T,127563
10,MK T,129378
10,MI_IDX MK,127470
10,MI_IDX MK T,126233
11,MI_IDX T,568556
11,MK T,567638
11,MI_IDX MK,566526
11,MI_IDX MK T,577726
12,MI T,3148585
12,MC T,3150860
12,MC MI,3148936
12,MC MI T,3119419
13,MI T,1184444
13,MC T,1225772
13,MC MI,1201821
13,MC MI T,1213179
14,MI T,5407783
14,MC T,5437041
14,MC MI,5343188
14,MC MI T,5460048
15,MK T,559
15,CI T,544
15,CI MK,559
15,CI MK T,531
16,MK T,45950
16,CI T,43800
16,CI MK,588
16,CI MK T,51007
17,MK T,14
17,CI T,14
17,CI MK,14
17,CI MK T,14
18,MK T,1935
18,CI T,1963
18,CI MK,1950
18,CI MK T,1938
19,MK T,35402934
19,CI T,35430113
19,CI MK,35690274
19,CI MK T,35524279
20,CI T,4038445
21,CI T,622001
22,CI T,20048694
23,CI T,7611409
23,MC T,7703834
23,CI MC,7844086
23,CI MC T,7622588
24,CI T,2735496
24,MC T,2940248
24,CI MC,2680763
24,CI MC T,2825021
25,CI T,310492
25,MC T,320472
25,CI MC,295074
25,CI MC T,279403
26,CI T,2950773
26,MC T,3112318
26,CI MC,3040498
26,CI MC T,3096481
27,CI T,758269
27,MC T,720402
27,CI MC,737797
27,CI MC T,750504
28,MC T,5252530
28,CI T,5265505
28,CI MC,5461628
28,CI MC T,5311836
29,MC T,2095260
29,CI T,2037291
29,CI MC,2045811
29,CI MC T,2089597
30,MC T,25859760
30,CI T,25879646
30,CI MC,25898181
30,CI MC T,25861417
31,MK T,1866
31,MC T,2243
31,MC MK,1682
31,MC MK T,2078
32,MK T,5407
32,MC T,5339
32,MC MK,5298
32,MC MK T,6159
33,MK T,4224871
33,MC T,4225582
33,MC MK,4240756
33,MC MK T,4224614
34,MI T,12638
34,MI_IDX T,13253
34,MC T,13391
34,MI MI_IDX,13377
34,MC MI,13218
34,MC MI_IDX,12849
34,MI MI_IDX T,13221
34,MC MI T,12335
34,MC MI_IDX T,13098
34,MC MI MI_IDX,12973
34,MC MI MI_IDX T,12737
35,MI T,1
35,MI_IDX T,1
35,MC T,1
35,MI MI_IDX,1
35,MC MI,1
35,MC MI_IDX,1
35,MI MI_IDX T,1
35,MC MI T,1
35,MC MI_IDX T,1
35,MC MI MI_IDX,1
35,MC MI MI_IDX T,7
36,MI T,51400
36,MI_IDX T,46698
36,MC T,48766
36,MI MI_IDX,48028
36,MC MI,51518
36,MC MI_IDX,47951
36,MI MI_IDX T,49155
36,MC MI T,51233
