QueryID,Tables,safebound_Estimate,safebound_InferenceTime
1,T MC,1334883.0,0.754
1,T MI_IDX,250.0,0.404
1,MC MI_IDX,6406.0,0.713
1,T MC MI_IDX,6406.0,0.759
2,T MC,1107987.0,1.49
2,T MI_IDX,10.0,0.82
2,MC MI_IDX,840.0,0.661
2,T MC MI_IDX,720.0,1.805
3,T MC,1107987.0,1.0230000000000001
3,T MI_IDX,250.0,0.766
3,MC MI_IDX,6406.0,0.657
3,T MC MI_IDX,6406.0,1.4649999999999999
4,T MC,1334883.0000000002,0.962
4,T MI_IDX,10.0,0.772
4,MC MI_IDX,840.0,0.696
4,T MC MI_IDX,840.0,1.3470000000000002
5,T MC,2609129.0,0.179
5,T MK,41840.0,0.449
5,MC MK,974941.907724241,0.465
5,T MC MK,974941.907724241,0.553
6,T MI,6662733.000000001,0.85
6,T MK,1801372.0000000005,0.674
6,MI MK,360729764.4208173,0.315
6,T MI MK,164403982.0934313,1.381
7,T MI,2433906.000000001,0.876
7,T MK,1801372.0000000005,0.6629999999999999
7,MI MK,360729764.4208173,0.309
7,T MI MK,93018969.96504895,1.5230000000000001
8,T MI,9754710.999999998,0.691
8,T MK,2946979.000000001,0.632
8,MI MK,360729764.4208173,0.314
8,T MI MK,266926276.12585947,1.176
9,T MI_IDX,459925.0,0.734
9,T MK,1801372.0000000005,0.6920000000000001
9,MI_IDX MK,4523930.0,0.46099999999999997
9,T MI_IDX MK,1801372.0000000005,1.292
10,T MI_IDX,311178.7176,0.76
10,T MK,1801372.0000000005,0.6880000000000001
10,MI_IDX MK,4523930.0,0.462
10,T MI_IDX MK,1801372.0000000005,1.324
11,T MI_IDX,459925.0,0.691
11,T MK,2946979.000000001,0.6040000000000001
11,MI_IDX MK,4523930.0,0.464
11,T MI_IDX MK,2946979.000000001,1.2550000000000001
12,T MI,6662733.000000001,0.7649999999999999
12,T MC,1107987.0,0.988
12,MI MC,45068081.20896321,0.5670000000000001
12,T MI MC,27296236.53665362,1.848
13,T MI,2433906.000000001,0.876
13,T MC,1107987.0,1.0
13,MI MC,45068081.20896321,0.6
13,T MI MC,16000011.490279704,1.871
14,T MI,9754710.999999998,0.639
14,T MC,1334883.0000000002,0.9359999999999999
14,MI MC,45068081.20896321,0.566
14,T MI MC,38131120.708610125,1.5399999999999998
15,T MK,382.6276416493539,0.9359999999999999
15,T CI,19558217.000000004,0.566
15,MK CI,184840.3823978245,0.255
15,T MK CI,193589.3442721697,1.399
16,T MK,299535.0,0.704
16,T CI,5935231.0,0.673
16,MK CI,438622123.29793966,0.27799999999999997
16,T MK CI,44367015.38117246,1.238
17,T MK,382.6276416493539,0.949
17,T CI,5935231.0,0.673
17,MK CI,184840.3823978245,0.253
17,T MK CI,140632.07148650262,1.562
18,T MK,382.6276416493541,0.852
18,T CI,33978132.0,0.48700000000000004
18,MK CI,184840.3823978245,0.251
18,T MK CI,204087.69940427892,1.242
19,T MK,2946979.000000001,0.598
19,T CI,33978132.0,0.472
19,MK CI,438622123.29793966,0.272
19,T MK CI,342479095.2019453,0.9700000000000001
20,T CI,12108539.999999998,0.696
21,T CI,2217038.0000000005,1.145
22,T CI,33978132.0,0.621
23,T CI,7451973.0,0.57
23,T MC,2609129.0,0.158
23,CI MC,36797048.23339826,0.612
23,T CI MC,36797048.23339826,0.69
24,T CI,2728943.0,0.522
24,T MC,2609129.0,0.157
24,CI MC,15493951.939196926,0.5419999999999999
24,T CI MC,15493951.939196926,0.646
25,T CI,276403.0,0.441
25,T MC,2609129.0,0.158
25,CI MC,2503021.536120598,0.458
25,T CI MC,2503021.536120598,0.5469999999999999
26,T CI,7451973.000000004,1.689
26,T MC,1107987.0,0.91
26,CI MC,36797048.23339826,0.597
26,T CI MC,23367377.70058708,2.564
27,T CI,7451973.000000002,1.802
27,T MC,849936.0000000001,1.059
27,CI MC,36797048.23339826,0.597
27,T CI MC,21034021.099835124,2.7889999999999997
28,T MC,1107987.0,0.57
28,T CI,12670687.999999998,1.105
28,MC CI,60217069.85978806,0.624
28,T MC CI,41798029.04726142,1.623
29,T MC,1107987.0,0.575
29,T CI,12670687.999999998,1.105
29,MC CI,60217069.85978806,0.627
29,T MC CI,41798029.04726142,1.635
30,T MC,1603462.0,0.515
30,T CI,33978132.0,0.472
30,MC CI,134661592.61397463,0.235
30,T MC CI,107616107.37523298,0.868
31,T MK,10545.0,0.754
31,T MC,1334883.0,0.789
31,MK MC,166059.00000000003,0.723
31,T MK MC,166059.00000000003,1.2830000000000001
32,T MK,10545.0,0.47100000000000003
32,T MC,1334883.0,0.443
32,MK MC,166059.00000000003,0.7150000000000001
32,T MK MC,166059.00000000003,0.78
33,T MK,4499972.0,0.317
33,T MC,2584552.0,0.265
33,MK MC,55519141.22824458,0.257
33,T MK MC,57244150.96884957,0.46599999999999997
34,T MI,1533909.0,2.343
34,T MI_IDX,445860.0,0.829
34,T MC,571655.0,1.563
34,MI MI_IDX,1533909.0,0.753
34,MI MC,5662569.000000001,0.794
34,MI_IDX MC,1300180.0,0.67
34,T MI MI_IDX,1533909.0,3.068
34,T MI MC,3123332.000000002,3.868
34,T MI_IDX MC,571655.0,2.202
34,MI MI_IDX MC,5662569.000000001,1.1150000000000002
34,T MI MI_IDX MC,3123332.000000002,4.518000000000001
35,T MI,121863.0,0.51
35,T MI_IDX,10.0,0.363
35,T MC,2609129.0,0.165
