QueryID,Tables,truecardinality_Estimate
1,MC T,1334883
1,MI_IDX T,250
1,MC MI_IDX,715
1,MC MI_IDX T,715
2,MC T,211875
2,MI_IDX T,3
2,MC MI_IDX,22
2,MC MI_IDX T,9
3,MC T,176197
3,MI_IDX T,12
3,MC MI_IDX,715
3,MC MI_IDX T,47
4,MC T,620001
4,MI_IDX T,6
4,MC MI_IDX,22
4,MC MI_IDX T,16
5,MC T,2609129
5,MK T,41840
5,MC MK,148552
5,MC MK T,148552
6,MI T,4922359
6,MK T,1253091
6,MI MK,235420417
6,MI MK T,62682311
7,MI T,1726523
7,MK T,299534
7,MI MK,235420417
7,MI MK T,11990578
8,MI T,9092685
8,MK T,2742670
8,MI MK,235420417
8,MI MK T,157041640
9,MI_IDX T,143567
9,MK T,1253091
9,MI_IDX MK,3461792
9,MI_IDX MK T,850677
10,MI_IDX T,43838
10,MK T,299534
10,MI_IDX MK,3461792
10,MI_IDX MK T,179616
11,MI_IDX T,303486
11,MK T,2742670
11,MI_IDX MK,3461792
11,MI_IDX MK T,2031666
12,MI T,4922359
12,MC T,450556
12,MC MI,19468013
12,MC MI T,6333736
13,MI T,1726523
13,MC T,176197
13,MC MI,19468013
13,MC MI T,1931628
14,MI T,9092685
14,MC T,794787
14,MC MI,19468013
14,MC MI T,12738520
15,MK T,11
15,CI T,5935230
15,CI MK,1242
15,CI MK T,1224
16,MK T,1054
16,CI T,3099
16,CI MK,215765477
16,CI MK T,13221
17,MK T,2
17,CI T,3099
17,CI MK,1242
17,CI MK T,33
18,MK T,11
18,CI T,21334720
18,CI MK,1242
18,CI MK T,1224
19,MK T,1970380
19,CI T,21334720
19,CI MK,215765477
19,CI MK T,114182642
20,CI T,4533382
21,CI T,695701
22,CI T,21454165
23,CI T,7451973
23,MC T,2609129
23,CI MC,13355828
23,CI MC T,13355828
24,CI T,2728943
24,MC T,2609129
24,CI MC,4450853
24,CI MC T,4450853
25,CI T,276403
25,MC T,2609129
25,CI MC,794591
25,CI MC T,794591
26,CI T,3211898
26,MC T,828838
26,CI MC,13355828
26,CI MC T,4893440
27,CI T,882675
