QueryID,Tables,mssql_Estimate
1,MC T,14112.7
1,MI_IDX T,83610.8
1,MC MI_IDX,3311510.0
1,MC MI_IDX T,17921.2
2,MC T,1303.33
2,MI_IDX T,5104.63
2,MC MI_IDX,556599.0
2,MC MI_IDX T,551.694
3,MC T,100208.0
3,MI_IDX T,1177410.0
3,MC MI_IDX,1669770.0
3,MC MI_IDX T,127251.0
4,MC T,75129.0
4,MI_IDX T,294251.0
4,MC MI_IDX,556599.0
4,MC MI_IDX T,31801.8
5,MC T,196765.0
5,MI_IDX T,1165740.0
5,MC MI_IDX,3311510.0
5,MC MI_IDX T,249865.0
6,MC T,760013.0
6,MI_IDX T,116291.0
6,MC MI_IDX,547259.0
6,MC MI_IDX T,138344.0
7,MC T,509356.0
7,MI_IDX T,76629.7
7,MC MI_IDX,556599.0
7,MC MI_IDX T,92717.1
8,MC T,34095.0
8,MI_IDX T,133538.0
8,MC MI_IDX,556605.0
8,MC MI_IDX T,14432.5
9,MC T,50648.2
9,MI_IDX T,595097.0
9,MC MI_IDX,1669770.0
9,MC MI_IDX T,64316.5
10,MC T,366903.0
10,MI_IDX T,55194.8
10,MC MI_IDX,556563.0
10,MC MI_IDX T,66782.3
11,MC T,104156.0
11,MI_IDX T,414876.0
11,MC MI_IDX,547224.0
11,MC MI_IDX T,44086.2
12,MC T,215.819
12,MI_IDX T,426.221
12,MC MI_IDX,1103870.0
12,MC MI_IDX T,1022.75
13,MC T,28.9796
13,MI_IDX T,113.503
13,MC MI_IDX,556605.0
13,MC MI_IDX T,12.2671
14,MC T,5052.97
14,MI_IDX T,19790.5
14,MC MI_IDX,556599.0
14,MC MI_IDX T,2138.9
15,MC T,1184810.0
15,MI_IDX T,89879.2
15,MC MI_IDX,1103870.0
15,MC MI_IDX T,215672.0
16,MC T,617489.0
16,MI_IDX T,94477.0
16,MC MI_IDX,547224.0
16,MC MI_IDX T,112393.0
17,MC T,3490.86
17,MI_IDX T,13672.4
17,MC MI_IDX,556599.0
17,MC MI_IDX T,1477.67
18,MC T,2378.4
18,MI_IDX T,9314.69
18,MC MI_IDX,556563.0
18,MC MI_IDX T,1006.71
19,MC T,154531.0
19,MI_IDX T,23645.3
19,MC MI_IDX,547265.0
19,MC MI_IDX T,28129.3
20,MC T,30407.5
20,MI_IDX T,357277.0
20,MC MI_IDX,1669770.0
20,MC MI_IDX T,38613.5
21,MC T,81309.6
21,MI_IDX T,323897.0
21,MC MI_IDX,547265.0
21,MC MI_IDX T,34418.5
22,MC T,3703.68
22,MI_IDX T,44259.6
22,MC MI_IDX,1641750.0
22,MC MI_IDX T,4703.19
23,MC T,36172.1
23,MI_IDX T,141663.0
23,MC MI_IDX,556563.0
23,MC MI_IDX T,15310.5
24,MC T,563738.0
24,MI_IDX T,84812.0
24,MC MI_IDX,556605.0
24,MC MI_IDX T,102617.0
25,MC T,30.4404
25,MI_IDX T,119.216
25,MC MI_IDX,556563.0
25,MC MI_IDX T,12.8845
26,MC T,14.8106
26,MI_IDX T,29.2472
26,MC MI_IDX,1103790.0
26,MC MI_IDX T,70.1809
27,MC T,125.254
27,MI_IDX T,742.073
27,MC MI_IDX,3311510.0
27,MC MI_IDX T,159.057
28,MC T,14.5155
28,MI_IDX T,56.8522
28,MC MI_IDX,556605.0
28,MC MI_IDX T,6.14442
29,MC T,74500.8
29,MI_IDX T,291794.0
29,MC MI_IDX,556605.0
29,MC MI_IDX T,31536.3
30,MC T,2191.9
30,MI_IDX T,8730.78
30,MC MI_IDX,547224.0
30,MC MI_IDX T,927.765
31,MC T,205656.0
31,MI_IDX T,94401.8
31,MC MI_IDX,1641750.0
31,MC MI_IDX T,261156.0
32,MC T,5297.77
32,MI_IDX T,63309.2
32,MC MI_IDX,1641750.0
32,MC MI_IDX T,6727.47
33,MC T,10721.2
33,MI_IDX T,128120.0
33,MC MI_IDX,1641750.0
33,MC MI_IDX T,13614.5
34,MC T,142834.0
34,MI_IDX T,846223.0
34,MC MI_IDX,3311510.0
