QueryID,Tables,duckdb_Estimate,duckdb_InferenceTime
1,MC T,454076,31.398534774780273
1,MI_IDX T,240172,3.6859512329101562
1,MC MI_IDX,4834794,1.8320083618164062
1,MC MI_IDX T,258804,3.9191246032714844
2,MC T,70,325.3486156463623
2,MI_IDX T,18,81.47501945495605
2,MC MI_IDX,604350,11.398792266845703
2,MC MI_IDX T,9,17.782926559448242
3,MC T,227038,38.99025917053223
3,MI_IDX T,240172,2.828836441040039
3,MC MI_IDX,2417398,10.608434677124023
3,MC MI_IDX T,129402,10.086774826049805
4,MC T,16817,8.55875015258789
4,MI_IDX T,4447,5.51295280456543
4,MC MI_IDX,604350,12.635946273803711
4,MC MI_IDX T,2396,11.674642562866211
5,MC T,544890,1.9333362579345703
5,MI_IDX T,288206,2.8524398803710938
5,MC MI_IDX,4834794,2.335071563720703
5,MC MI_IDX T,310565,2.9973983764648438
6,MC T,227038,193.65906715393066
6,MI_IDX T,60043,9.476423263549805
6,MC MI_IDX,604350,10.60342788696289
6,MC MI_IDX T,32350,17.481088638305664
7,MC T,227038,11.875391006469727
7,MI_IDX T,60043,7.659435272216797
7,MC MI_IDX,604350,10.181427001953125
7,MC MI_IDX T,32350,14.804363250732422
8,MC T,227038,11.910438537597656
8,MI_IDX T,60043,82.8561782836914
8,MC MI_IDX,604350,12.697935104370117
8,MC MI_IDX T,32350,17.08197593688965
9,MC T,10811,11.586904525756836
9,MI_IDX T,11436,5.489826202392578
9,MC MI_IDX,2417398,7.955074310302734
9,MC MI_IDX T,6162,12.34889030456543
10,MC T,227038,11.522769927978516
10,MI_IDX T,60043,84.6109390258789
10,MC MI_IDX,604350,12.817144393920898
10,MC MI_IDX T,32350,15.009880065917969
11,MC T,227038,33.341169357299805
11,MI_IDX T,60043,4.820108413696289
11,MC MI_IDX,604350,10.614871978759766
11,MC MI_IDX T,32350,15.093803405761719
12,MC T,140,2.4576187133789062
12,MI_IDX T,18,4.968881607055664
12,MC MI_IDX,1208699,3.994464874267578
12,MC MI_IDX T,19,4.878044128417969
13,MC T,70,11.972427368164062
13,MI_IDX T,18,7.67207145690918
13,MC MI_IDX,604350,10.523557662963867
13,MC MI_IDX T,9,14.861106872558594
14,MC T,10811,9.118318557739258
14,MI_IDX T,2859,6.664752960205078
14,MC MI_IDX,604350,12.20393180847168
14,MC MI_IDX T,1540,11.974811553955078
15,MC T,544890,2.0749568939208984
15,MI_IDX T,72051,5.422115325927734
15,MC MI_IDX,1208699,5.73277473449707
15,MC MI_IDX T,77641,5.061626434326172
16,MC T,227038,14.94908332824707
16,MI_IDX T,60043,11.061906814575195
16,MC MI_IDX,604350,13.597249984741211
16,MC MI_IDX T,32350,17.469406127929688
17,MC T,10811,11.954784393310547
17,MI_IDX T,2859,5.271434783935547
17,MC MI_IDX,604350,12.823343276977539
17,MC MI_IDX T,1540,11.62862777709961
18,MC T,10811,13.774633407592773
18,MI_IDX T,2859,12.59303092956543
18,MC MI_IDX,604350,13.408660888671875
18,MC MI_IDX T,1540,16.973257064819336
19,MC T,227038,11.809825897216797
19,MI_IDX T,60043,8.694887161254883
19,MC MI_IDX,604350,10.422945022583008
19,MC MI_IDX T,32350,15.360116958618164
20,MC T,246,228.19995880126953
20,MI_IDX T,261,18.552064895629883
20,MC MI_IDX,2417398,15.175580978393555
20,MC MI_IDX T,140,18.369674682617188
21,MC T,227038,15.505552291870117
21,MI_IDX T,60043,15.56849479675293
21,MC MI_IDX,604350,13.892650604248047
21,MC MI_IDX T,32350,21.148204803466797
22,MC T,10811,15.595197677612305
22,MI_IDX T,11436,6.509304046630859
22,MC MI_IDX,2417398,8.485794067382812
22,MC MI_IDX T,6162,12.827873229980469
23,MC T,10811,12.853860855102539
23,MI_IDX T,2859,15.672922134399414
23,MC MI_IDX,604350,13.817548751831055
23,MC MI_IDX T,1540,20.888328552246094
24,MC T,227038,16.379594802856445
24,MI_IDX T,60043,14.487028121948242
24,MC MI_IDX,604350,10.557889938354492
24,MC MI_IDX T,32350,16.143798828125
25,MC T,70,12.820243835449219
25,MI_IDX T,18,4.907131195068359
25,MC MI_IDX,604350,16.409635543823242
25,MC MI_IDX T,9,21.616220474243164
26,MC T,140,6.090641021728516
26,MI_IDX T,18,6.359338760375977
26,MC MI_IDX,1208699,5.54966926574707
26,MC MI_IDX T,19,11.14797592163086
27,MC T,140,7.817506790161133
27,MI_IDX T,74,8.617639541625977
27,MC MI_IDX,4834794,2.259969711303711
27,MC MI_IDX T,79,10.433435440063477
28,MC T,70,14.426231384277344
28,MI_IDX T,18,11.439085006713867
28,MC MI_IDX,604350,13.891458511352539
28,MC MI_IDX T,9,24.115562438964844
29,MC T,10811,15.22374153137207
29,MI_IDX T,2859,14.150857925415039
29,MC MI_IDX,604350,12.414216995239258
29,MC MI_IDX T,1540,16.154050827026367
30,MC T,10811,17.732858657836914
30,MI_IDX T,2859,11.740922927856445
30,MC MI_IDX,604350,11.334657669067383
30,MC MI_IDX T,1540,15.105485916137695
31,MC T,227038,17.807483673095703
31,MI_IDX T,240172,10.400772094726562
31,MC MI_IDX,2417398,13.193130493164062
31,MC MI_IDX T,129402,26.407480239868164
32,MC T,10811,14.737129211425781
32,MI_IDX T,11436,5.97691535949707
32,MC MI_IDX,2417398,15.427112579345703
32,MC MI_IDX T,6162,21.44598960876465
33,MC T,227038,8.97526741027832
33,MI_IDX T,240172,4.9571990966796875
33,MC MI_IDX,2417398,15.869855880737305
33,MC MI_IDX T,129402,11.846542358398438
34,MC T,454076,2.318143844604492
34,MI_IDX T,240172,5.255937576293945
34,MC MI_IDX,4834794,2.4039745330810547
34,MC MI_IDX T,258804,4.851102828979492
35,MC T,227038,17.305850982666016
35,MI_IDX T,60043,11.686563491821289
35,MC MI_IDX,604350,13.203859329223633
35,MC MI_IDX T,32350,20.216941833496094
36,MC T,10811,10.447502136230469
36,MI_IDX T,2859,5.653619766235352
36,MC MI_IDX,604350,15.512228012084961
36,MC MI_IDX T,1540,18.33200454711914
37,MC T,272445,13.652563095092773
37,MI_IDX T,288206,4.057884216308594
37,MC MI_IDX,2417398,12.289285659790039
37,MC MI_IDX T,155282,14.755487442016602
38,MC T,246,25.038957595825195
38,MI_IDX T,65,14.076709747314453
38,MC MI_IDX,604350,10.308265686035156
38,MC MI_IDX T,35,19.368648529052734
39,MC T,227038,16.19243621826172
39,MI_IDX T,60043,11.485576629638672
39,MC MI_IDX,604350,12.230873107910156
39,MC MI_IDX T,32350,22.117137908935547
40,MC T,227038,16.124725341796875
40,MI_IDX T,60043,11.494874954223633
40,MC MI_IDX,604350,12.196063995361328
40,MC MI_IDX T,32350,19.917011260986328
41,MC T,227038,15.659570693969727
41,MI_IDX T,60043,12.977123260498047
41,MC MI_IDX,604350,13.164281845092773
41,MC MI_IDX T,32350,15.49386978149414
42,MC T,227038,11.916637420654297
42,MI_IDX T,60043,9.172916412353516
42,MC MI_IDX,604350,15.284538269042969
42,MC MI_IDX T,32350,13.22627067565918
43,MC T,227038,14.116525650024414
43,MI_IDX T,60043,12.601375579833984
43,MC MI_IDX,604350,12.85696029663086
43,MC MI_IDX T,32350,20.665407180786133
44,MC T,227038,16.355514526367188
44,MI_IDX T,60043,11.11459732055664
44,MC MI_IDX,604350,12.215375900268555
44,MC MI_IDX T,32350,23.97322654724121
45,MC T,272445,10.79249382019043
45,MI_IDX T,72051,10.614633560180664
45,MC MI_IDX,604350,15.630483627319336
45,MC MI_IDX T,38820,12.992382049560547
46,MC T,272445,13.433456420898438
46,MI_IDX T,72051,5.033254623413086
46,MC MI_IDX,604350,19.44899559020996
46,MC MI_IDX T,38820,19.527912139892578
47,MC T,10811,13.064384460449219
47,MI_IDX T,2859,10.561704635620117
47,MC MI_IDX,604350,15.80667495727539
47,MC MI_IDX T,1540,18.53775978088379
48,MC T,10811,14.111042022705078
48,MI_IDX T,11436,6.590366363525391
48,MC MI_IDX,2417398,15.08331298828125
48,MC MI_IDX T,6162,19.012928009033203
49,MC T,454076,14.75071907043457
49,MI_IDX T,60043,20.26820182800293
49,MC MI_IDX,1208699,7.68733024597168
49,MC MI_IDX T,64701,13.61083984375
50,MC T,70,20.8895206451416
50,MI_IDX T,74,9.99903678894043
50,MC MI_IDX,2417398,8.515357971191406
50,MC MI_IDX T,39,14.140844345092773
51,MC T,10811,17.953872680664062
51,MI_IDX T,2859,12.487173080444336
51,MC MI_IDX,604350,18.254995346069336
51,MC MI_IDX T,1540,23.3612060546875
52,MC T,227038,17.17090606689453
52,MI_IDX T,240172,14.285802841186523
52,MC MI_IDX,2417398,13.62919807434082
52,MC MI_IDX T,129402,19.310951232910156
53,MC T,246,19.72198486328125
53,MI_IDX T,261,19.123315811157227
53,MC MI_IDX,2417398,12.530326843261719
53,MC MI_IDX T,140,26.09539031982422
54,MC T,10811,14.882326126098633
54,MI_IDX T,2859,9.211540222167969
54,MC MI_IDX,604350,13.542890548706055
54,MC MI_IDX T,1540,25.210857391357422
55,MC T,272445,15.61284065246582
55,MI_IDX T,72051,10.428905487060547
55,MC MI_IDX,604350,15.876293182373047
55,MC MI_IDX T,38820,19.52075958251953
56,MC T,454076,5.305767059326172
56,MK T,157463,21.7134952545166
56,MC MK,3169814,2.8715133666992188
56,MC MK T,169679,10.838985443115234
57,MC T,272445,8.360147476196289
57,MK T,16,8.190393447875977
57,MC MK,140,13.751983642578125
57,MC MK T,9,9.016275405883789
58,MC T,70,12.127161026000977
58,MK T,48,10.31804084777832
58,MC MK,1584907,10.935544967651367
58,MC MK T,26,12.956857681274414
59,MC T,227038,14.766693115234375
59,MK T,157463,11.816024780273438
59,MC MK,1584907,10.95128059387207
59,MC MK T,84839,12.896299362182617
60,MC T,454076,14.508724212646484
60,MK T,157463,15.29240608215332
60,MC MK,3169814,2.613067626953125
60,MC MK T,169679,13.168811798095703
61,MC T,70,16.828536987304688
61,MK T,48,11.525630950927734
61,MC MK,1584907,10.719776153564453
61,MC MK T,26,18.996477127075195
62,MC T,104787,17.48514175415039
62,MK T,363377,5.454778671264648
62,MC MK,7924538,12.794971466064453
62,MC MK T,195783,17.7762508392334
63,MC T,227038,12.126922607421875
63,MK T,787316,2.482175827026367
63,MC MK,7924538,7.976293563842773
63,MC MK T,424197,9.69696044921875
64,MC T,227038,12.324810028076172
64,MK T,157463,15.166521072387695
64,MC MK,1584907,10.366439819335938
64,MC MK T,84839,14.44864273071289
65,MC T,227038,13.779401779174805
65,MK T,157463,11.920452117919922
65,MC MK,1584907,16.6628360748291
65,MC MK T,84839,20.626068115234375
66,MC T,70,14.056682586669922
66,MK T,48,8.600234985351562
66,MC MK,1584907,9.453773498535156
66,MC MK T,26,12.063264846801758
67,MC T,70,25.248050689697266
67,MK T,48,15.641927719116211
67,MC MK,1584907,9.84644889831543
67,MC MK T,26,19.939184188842773
68,MC T,10811,15.113353729248047
68,MK T,0,6.040096282958984
68,MC MK,140,10.717630386352539
68,MC MK T,0,9.290695190429688
69,MC T,227038,12.070417404174805
69,MK T,157463,10.695457458496094
69,MC MK,1584907,8.736133575439453
69,MC MK T,84839,13.270854949951172
70,MC T,227038,15.545845031738281
70,MK T,13,15.75160026550293
70,MC MK,140,10.772228240966797
70,MC MK T,7,22.20892906188965
71,MC T,272445,13.536930084228516
71,MK T,188955,6.124734878540039
71,MC MK,1584907,16.278505325317383
71,MC MK T,101807,17.824411392211914
72,MC T,272445,14.436960220336914
72,MK T,188955,8.940935134887695
72,MC MK,1584907,12.676715850830078
72,MC MK T,101807,17.60244369506836
73,MC T,70,18.459081649780273
73,MK T,242,8.122444152832031
73,MC MK,7924538,9.338617324829102
73,MC MK T,130,21.805286407470703
74,MC T,227038,16.573190689086914
74,MK T,157463,12.052059173583984
74,MC MK,1584907,15.605926513671875
74,MC MK T,84839,21.785736083984375
75,MC T,227038,16.53885841369629
75,MK T,157463,12.875556945800781
75,MC MK,1584907,16.25847816467285
75,MC MK T,84839,21.451711654663086
76,MC T,454076,8.094072341918945
76,MK T,157463,12.912511825561523
76,MC MK,3169814,2.1219253540039062
76,MC MK T,169679,8.360624313354492
77,MC T,70,18.423080444335938
77,MK T,48,12.098073959350586
77,MC MK,1584907,8.834123611450195
77,MC MK T,26,18.88132095336914
78,MC T,454076,6.523609161376953
78,MK T,157463,13.499259948730469
78,MC MK,3169814,1.5802383422851562
78,MC MK T,169679,13.19122314453125
79,MC T,272445,13.139724731445312
79,MK T,188955,7.808685302734375
79,MC MK,1584907,12.150287628173828
79,MC MK T,101807,14.420509338378906
80,MC T,140,11.491537094116211
80,MK T,48,14.910459518432617
80,MC MK,3169814,2.969980239868164
80,MC MK T,52,9.410619735717773
81,MC T,272445,16.8459415435791
81,MK T,188955,5.759716033935547
81,MC MK,1584907,15.54417610168457
81,MC MK T,101807,17.125368118286133
82,MC T,70,14.667034149169922
