QueryID,Tables,factorjoin_Estimate
1,MI_IDX MC,10685322.0
1,T MC,5174.229050844991
1,T MI_IDX,342.4881501966529
1,T MC MI_IDX,5591852.966129181
2,MI_IDX MC,5157700.0
2,T MC,40400.0
2,T MI_IDX,2600.0
2,T MC MI_IDX,58586400.0
3,MI_IDX MC,5362000.0
3,T MC,1133700.0
3,T MI_IDX,340000.0
3,T MC MI_IDX,1323422200.0
4,MI_IDX MC,5157700.0
4,T MC,911600.0
4,T MI_IDX,79100.0
4,T MC MI_IDX,1054940000.0
5,MI_IDX MC,10685322.0
5,T MC,2070342.0
5,T MI_IDX,241300.0
5,T MC MI_IDX,2320727470.0
6,MI_IDX MC,5286200.0
6,T MC,1269800.0
6,T MI_IDX,454600.0
6,T MC MI_IDX,1429907500.0
7,MI_IDX MC,5157700.0
7,T MC,1225700.0
7,T MI_IDX,454500.0
7,T MC MI_IDX,1419336400.0
8,MI_IDX MC,5176000.0
8,T MC,831200.0
8,T MI_IDX,130400.0
8,T MC MI_IDX,911300800.0
9,MI_IDX MC,5362000.0
9,T MC,929600.0
9,T MI_IDX,63700.0
9,T MC MI_IDX,1078445600.0
10,MI_IDX MC,5166200.0
10,T MC,1208800.0
10,T MI_IDX,433500.0
10,T MC MI_IDX,1411466900.0
11,MI_IDX MC,5293800.0
11,T MC,1239900.0
11,T MI_IDX,345300.0
11,T MC MI_IDX,1395395900.0
12,MI_IDX MC,10423364.0
12,T MC,5174.229050844991
12,T MI_IDX,342.25554441065816
12,T MC MI_IDX,5588214.034699831
13,MI_IDX MC,5176000.0
13,T MC,5174.196301722255
13,T MI_IDX,342.25554441065816
13,T MC MI_IDX,5588214.034699831
14,MI_IDX MC,5157700.0
14,T MC,38600.0
14,T MI_IDX,2500.0
14,T MC MI_IDX,47290000.0
15,MI_IDX MC,10423364.0
15,T MC,2262446.0
15,T MI_IDX,393000.0
15,T MC MI_IDX,2543873925.0
16,MI_IDX MC,5293800.0
16,T MC,1266900.0
16,T MI_IDX,456000.0
16,T MC MI_IDX,1430314100.0
17,MI_IDX MC,5157700.0
17,T MC,72700.0
17,T MI_IDX,5000.0
17,T MC MI_IDX,80658900.0
18,MI_IDX MC,5166200.0
18,T MC,110000.0
18,T MI_IDX,7300.0
18,T MC MI_IDX,143680100.0
19,MI_IDX MC,5302700.0
19,T MC,1256300.0
19,T MI_IDX,289800.0
19,T MC MI_IDX,1418609500.0
20,MI_IDX MC,5362000.0
20,T MC,784000.0
20,T MI_IDX,51300.0
20,T MC MI_IDX,886722000.0
21,MI_IDX MC,5302700.0
21,T MC,792100.0
21,T MI_IDX,53000.0
21,T MC MI_IDX,809993100.0
22,MI_IDX MC,5325100.0
22,T MC,30000.0
22,T MI_IDX,2000.0
22,T MC MI_IDX,28800000.0
23,MI_IDX MC,5166200.0
23,T MC,488200.0
23,T MI_IDX,32100.0
23,T MC MI_IDX,575926700.0
24,MI_IDX MC,5176000.0
24,T MC,1167700.0
24,T MI_IDX,438000.0
24,T MC MI_IDX,1352590600.0000002
25,MI_IDX MC,5166200.0
25,T MC,5174.196301722255
25,T MI_IDX,342.1729201142896
25,T MC MI_IDX,5586121.9747404605
26,MI_IDX MC,10406919.0
26,T MC,5174.229050844991
26,T MI_IDX,342.1729201142896
26,T MC MI_IDX,5586121.9747404605
27,MI_IDX MC,10685322.0
27,T MC,5174.229050844991
27,T MI_IDX,342.4881501966529
27,T MC MI_IDX,5591852.966129181
28,MI_IDX MC,5176000.0
28,T MC,5174.196301722255
28,T MI_IDX,342.25554441065816
28,T MC MI_IDX,5588214.034699831
29,MI_IDX MC,5176000.0
29,T MC,932400.0
29,T MI_IDX,62600.0
29,T MC MI_IDX,1091737200.0
30,MI_IDX MC,5293800.0
30,T MC,30000.0
30,T MI_IDX,2000.0
30,T MC MI_IDX,28800000.0
31,MI_IDX MC,5325100.0
31,T MC,1175000.0
31,T MI_IDX,139600.0
31,T MC MI_IDX,1317894600.0
32,MI_IDX MC,5325100.0
32,T MC,121000.0
32,T MI_IDX,8000.0
32,T MC MI_IDX,150486400.0
33,MI_IDX MC,5325100.0
33,T MC,1199200.0
33,T MI_IDX,195100.0
33,T MC MI_IDX,1343281200.0
34,MI_IDX MC,10685322.0
34,T MC,2156045.0
34,T MI_IDX,215500.0
34,T MC MI_IDX,2438203520.0
35,MI_IDX MC,5166200.0
35,T MC,1168300.0
35,T MI_IDX,409600.0
35,T MC MI_IDX,1353850400.0
36,MI_IDX MC,5293800.0
36,T MC,129800.0
36,T MI_IDX,8600.0
36,T MC MI_IDX,143892000.0
37,MI_IDX MC,5325100.0
37,T MC,894200.0
37,T MI_IDX,60800.0
37,T MC MI_IDX,938710400.0
38,MI_IDX MC,5166200.0
38,T MC,904200.0
38,T MI_IDX,101000.0
38,T MC MI_IDX,1043248800.0
39,MI_IDX MC,5176000.0
39,T MC,1228400.0
39,T MI_IDX,450800.0
39,T MC MI_IDX,1423189000.0000002
40,MI_IDX MC,5157700.0
40,T MC,1187600.0
40,T MI_IDX,440000.0
40,T MC MI_IDX,1380764700.0
41,MI_IDX MC,5176000.0
41,T MC,1195600.0
41,T MI_IDX,448600.0
41,T MC MI_IDX,1393822700.0000002
42,MI_IDX MC,5176000.0
42,T MC,1038500.0
42,T MI_IDX,351000.0
42,T MC MI_IDX,1197701300.0000002
43,MI_IDX MC,5286200.0
43,T MC,1187400.0
43,T MI_IDX,104400.0
43,T MC MI_IDX,1333860700.0
44,MI_IDX MC,5157700.0
44,T MC,1233000.0
44,T MI_IDX,454400.0
44,T MC MI_IDX,1420933700.0
45,MI_IDX MC,5286200.0
45,T MC,1263000.0
45,T MI_IDX,451500.0
45,T MC MI_IDX,1426295800.0
46,MI_IDX MC,5176000.0
46,T MC,1003300.0
46,T MI_IDX,233000.0
46,T MC MI_IDX,1151485900.0000002
47,MI_IDX MC,5166200.0
47,T MC,119500.0
47,T MI_IDX,8100.0
47,T MC MI_IDX,146758100.0
48,MI_IDX MC,5362000.0
48,T MC,260900.0
48,T MI_IDX,17500.0
48,T MC MI_IDX,298176400.0
49,MI_IDX MC,10406919.0
49,T MC,2000687.0
49,T MI_IDX,225900.0
49,T MC MI_IDX,2254364920.0
50,MI_IDX MC,5362000.0
50,T MC,5174.196301722255
50,T MI_IDX,342.4881501966529
50,T MC MI_IDX,5591828.862774848
51,MI_IDX MC,5157700.0
51,T MC,960300.0
51,T MI_IDX,105800.0
51,T MC MI_IDX,1110782700.0
52,MI_IDX MC,5362000.0
52,T MC,944400.0
52,T MI_IDX,157000.0
52,T MC MI_IDX,1088914500.0
53,MI_IDX MC,5362000.0
53,T MC,121800.0
53,T MI_IDX,8100.0
53,T MC MI_IDX,126496400.0
54,MI_IDX MC,5302700.0
54,T MC,383300.0
54,T MI_IDX,26400.0
54,T MC MI_IDX,418866200.0
55,MI_IDX MC,5166200.0
55,T MC,1113900.0
55,T MI_IDX,434400.0
55,T MC MI_IDX,1297166800.0
56,MK MC,44300.0
56,T MC,2480287.0
56,T MK,700.0
56,T MC MK,112447900.0
57,MK MC,250100.0
57,T MC,1210000.0
57,T MK,3600.0
57,T MC MK,715839700.0
58,MK MC,6273.795041037329
58,T MC,5174.196301722255
58,T MK,44.83045622656947
58,T MC MK,956137.9338088002
59,MK MC,6273.795041037329
59,T MC,1073700.0
59,T MK,76.08844522351141
59,T MC MK,1312398.2093498192
60,MK MC,6280.452129011723
60,T MC,2453230.0
60,T MK,85.53850302723518
60,T MC MK,1350192.0387544276
61,MK MC,48100.0
61,T MC,6000.0
61,T MK,100.0
61,T MC MK,360000.0
62,MK MC,10168100.0
62,T MC,232000.0
62,T MK,18500.0
62,T MC MK,1026888000.0
63,MK MC,27846200.0
63,T MC,126700.0
63,T MK,8100.0
63,T MC MK,1403100100.0
64,MK MC,58900.0
64,T MC,1171200.0
64,T MK,600.0
64,T MC MK,241265100.0
65,MK MC,24100.0
65,T MC,1236900.0
65,T MK,400.0
65,T MC MK,125222500.0
66,MK MC,37000.0
66,T MC,18000.0
66,T MK,1.0
66,T MC MK,10.0
67,MK MC,16000.0
67,T MC,5174.196301722255
67,T MK,7.379389885425533
67,T MC MK,1419736.5363926603
68,MK MC,184100.0
68,T MC,684300.0
68,T MK,1200.0
68,T MC MK,49411200.0
69,MK MC,18700.0
69,T MC,1130600.0
69,T MK,200.0
69,T MC MK,13107400.0
70,MK MC,149100.0
70,T MC,1266900.0
70,T MK,2000.0
70,T MC MK,349157100.0
71,MK MC,106800.0
71,T MC,1232900.0
71,T MK,900.0
71,T MC MK,92701800.0
72,MK MC,39000.0
72,T MC,1203300.0
72,T MK,500.0
72,T MC MK,56396000.0
73,MK MC,27846200.0
73,T MC,6000.0
73,T MK,100.0
73,T MC MK,360000.0
74,MK MC,68500.0
74,T MC,1227000.0
74,T MK,1000.0
74,T MC MK,268706500.0
75,MK MC,32600.0
75,T MC,1211000.0
75,T MK,400.0
75,T MC MK,146722700.0
76,MK MC,23200.0
76,T MC,2481326.0
76,T MK,300.0
76,T MC MK,69538600.0
77,MK MC,6273.795041037329
77,T MC,5174.196301722255
77,T MK,44.83045622656947
77,T MC MK,956137.9338088002
78,MK MC,82600.0
78,T MC,1032649.0
78,T MK,400.0
78,T MC MK,37000800.0
79,MK MC,63900.0
79,T MC,1171000.0
79,T MK,1000.0
79,T MC MK,115491200.0
80,MK MC,24300.0
80,T MC,24000.0
80,T MK,1.0
80,T MC MK,10.0
81,MK MC,8000.000000000001
81,T MC,1112100.0
81,T MK,1.0
81,T MC MK,10.0
82,MK MC,27846200.0
82,T MC,4900.0
82,T MK,4000.0
82,T MC MK,384160000.0
83,MK MC,5200.0
83,T MC,1236900.0
83,T MK,100.0
83,T MC MK,15683199.999999998
84,MK MC,5400.000000000001
84,T MC,5173.889693993463
84,T MK,9.619461522153912
84,T MC MK,617107.6955692178
85,MK MC,6273.795041037329
85,T MC,6000.0
85,T MK,19.02567015846841
85,T MC MK,68492.41257048628
86,MK MC,6236.401049529944
86,T MC,1249600.0
86,T MK,74.36556268554111
86,T MC MK,1300352.336228956
87,MK MC,31000.0
87,T MC,5174.229050844991
87,T MK,17.952887143675305
87,T MC MK,3804117.880546388
88,MK MC,47100.0
88,T MC,1017400.0
88,T MK,100.0
88,T MC MK,16160400.0
89,MK MC,38203198.0
89,T MC,5174.229050844991
89,T MK,272.2976040931657
89,T MC MK,46676299.99659853
90,MK MC,96900.0
90,T MC,1081700.0
90,T MK,1000.0
90,T MC MK,108764800.0
91,MK MC,60800.0
91,T MC,54600.0
91,T MK,400.0
91,T MC MK,13791600.0
92,MK MC,52300.0
92,T MC,1253900.0
92,T MK,500.0
92,T MC MK,72351100.0
93,MK MC,190000.0
93,T MC,2045342.0
93,T MK,1300.0
93,T MC MK,49780200.0
94,MK MC,173000.0
94,T MC,1226400.0
94,T MK,2200.0
94,T MC MK,390929500.0
95,MK MC,191200.0
95,T MC,2444194.0
95,T MK,2600.0
95,T MC MK,510056700.0
96,MK MC,38203198.0
96,T MC,2206629.0
96,T MK,320800.0
96,T MC MK,18183079174.0
97,MK MC,27846200.0
97,T MC,12000.0
97,T MK,200.0
97,T MC MK,720000.0
98,MK MC,86500.0
98,T MC,7300.0
98,T MK,1.0
98,T MC MK,10.0
99,MK MC,27846200.0
99,T MC,36000.0
99,T MK,600.0
99,T MC MK,2160000.0
100,MK MC,42800.0
100,T MC,5174.196301722255
100,T MK,111.61118564480968
100,T MC MK,5160875.319818124
101,MK MC,86700.0
101,T MC,14600.0
101,T MK,1.0
101,T MC MK,10.0
102,MK MC,37400.0
102,T MC,1213700.0
102,T MK,300.0
102,T MC MK,72310900.0
103,MK MC,6273.795041037329
103,T MC,992800.0
103,T MK,66.54249734191289
103,T MC MK,1209077.353951369
104,MK MC,65400.0
104,T MC,1209000.0
104,T MK,1000.0
104,T MC MK,46331100.0
105,MK MC,6273.795041037329
105,T MC,267000.0
105,T MK,36.902228814327366
105,T MC MK,808515.844596528
106,MK MC,6700.0
106,T MC,1264400.0
106,T MK,100.0
106,T MC MK,16160400.0
107,MK MC,10168100.0
107,T MC,18000.0
107,T MK,300.0
107,T MC MK,1080000.0
108,MK MC,47500.0
108,T MC,1200000.0
108,T MK,600.0
108,T MC MK,55969900.0
109,MK MC,29700.0
109,T MC,1208100.0
109,T MK,500.0
109,T MC MK,132075200.0
110,MK MC,97800.0
110,T MC,18000.0
110,T MK,100.0
110,T MC MK,360000.0
111,MK MI,1245000.0
111,T MI,48077.24145595955
111,T MK,117.97701391283988
111,T MI MK,3294582977.0698795
112,MK MI,487400.0
112,T MI,2700.0
112,T MK,165500.0
112,T MI MK,1481000000.0
113,MK MI,231400.0
113,T MI,471900.0
113,T MK,1.0
113,T MI MK,10.0
114,MK MI,1638300.0
114,T MI,13008862.0
114,T MK,1600.0
114,T MI MK,42057530200.0
115,MK MI,3011300.0
115,T MI,256200.0
115,T MK,3100.0
115,T MI MK,5370208000.0
116,MK MI,2697500.0
116,T MI,102600.0
116,T MK,9100.0
116,T MI MK,108790265400.0
117,MK MI,4079400.0
117,T MI,56300.0
117,T MK,100.0
117,T MI MK,31696900.0
118,MK MI,13611900.0
118,T MI,65200.0
118,T MK,248900.0
118,T MI MK,158358692400.0
119,MK MI,1648800.0
119,T MI,13162633.0
119,T MK,2000.0
119,T MI MK,55070643600.0
120,MK MI,78530.57306368579
120,T MI,497400.0
120,T MK,80.80149339180757
120,T MI MK,234242975.67986232
121,MK MI,1424600.0
121,T MI,1218400.0
121,T MK,2800.0
121,T MI MK,53257822800.0
122,MK MI,1467900.0
122,T MI,2632700.0
122,T MK,1400.0
122,T MI MK,34786010900.0
123,MK MI,78807.27237158842
123,T MI,12792151.0
123,T MK,72.72265485982321
123,T MI MK,224676376.93607265
124,MK MI,2149800.0
124,T MI,9653794.0
124,T MK,700.0
124,T MI MK,8084567100.0
125,MK MI,1007300.0
125,T MI,56300.0
125,T MK,100.0
125,T MI MK,31696900.0
126,MK MI,698900.0
126,T MI,48058.81932293166
126,T MK,107.69912890497692
126,T MI MK,2888859238.815661
127,MK MI,2253500.0
127,T MI,347600.0
127,T MK,2900.0
127,T MI MK,88095411500.0
128,MK MI,77151.11913756402
128,T MI,36774.3225915156
128,T MK,44.83045622656947
128,T MI MK,110970484.29324704
129,MK MI,292100.0
129,T MI,304500.0
129,T MK,500.0
129,T MI MK,4158968100.0
130,MK MI,10185100.0
130,T MI,1441400.0
130,T MK,2976097.0
130,T MI MK,349717538500.0
131,MK MI,71129.79400653856
131,T MI,81200.0
131,T MK,88.20361941939862
131,T MI MK,210678764.1168029
132,MK MI,1073900.0
132,T MI,13733070.0
132,T MK,900.0
132,T MI MK,115741985100.0
133,MK MI,4315600.0
133,T MI,565500.0
133,T MK,6700.0
133,T MI MK,279294201200.0
134,MK MI,3110500.0
134,T MI,629000.0
134,T MK,5100.0
134,T MI MK,128935919600.0
135,MK MI,78807.27237158842
135,T MI,12355785.0
135,T MK,64.9074366756338
135,T MI MK,174517440.68695924
136,MK MI,54800.0
136,T MI,12679040.0
136,T MK,100.0
