QueryID,Tables,lpbound_Estimate
1,MC T,104019.00000000007
1,MI_IDX T,58223.99999999989
1,MC MI_IDX,6023891.641701857
1,MC MI_IDX T,296153.3870412422
2,MC T,2377.000000000001
2,MI_IDX T,512.0
2,MC MI_IDX,1274246.0000000012
2,MC MI_IDX T,2377.000000000001
3,MC T,159503.99999999985
3,MI_IDX T,83549.99999999991
3,MC MI_IDX,4100660.908492193
3,MC MI_IDX T,326803.3982381453
4,MC T,110826.9999999999
4,MI_IDX T,32767.99999999996
4,MC MI_IDX,1274246.0000000012
4,MC MI_IDX T,110826.99999999962
5,MC T,634273.9999999978
5,MI_IDX T,405467.99999999977
5,MC MI_IDX,6023891.641701857
5,MC MI_IDX T,1685234.059662931
6,MC T,1220675.6491320634
6,MI_IDX T,262144.0
6,MC MI_IDX,1143296.3862336813
6,MC MI_IDX T,863148.0291305771
7,MC T,1274245.9999999981
7,MI_IDX T,262144.0
7,MC MI_IDX,1274246.0000000012
7,MC MI_IDX T,1274246.0000000012
8,MC T,163304.99999999997
8,MI_IDX T,8192.0
8,MC MI_IDX,1274246.0000000012
8,MC MI_IDX T,41377.947510059304
9,MC T,87492.99999999996
9,MI_IDX T,57869.99999999996
9,MC MI_IDX,4100660.908492193
9,MC MI_IDX T,270299.3137656946
10,MC T,809459.9999999974
10,MI_IDX T,262144.0
10,MC MI_IDX,1274246.0000000012
10,MC MI_IDX T,809459.9999999994
11,MC T,200367.99999999994
11,MI_IDX T,65536.0
11,MC MI_IDX,1143296.3862336813
11,MC MI_IDX T,200367.99999999994
12,MC T,288.9999999999999
12,MI_IDX T,64.0
12,MC MI_IDX,1901965.0000000014
12,MC MI_IDX T,288.9999999999999
13,MC T,479.9999999999998
13,MI_IDX T,128.0
13,MC MI_IDX,1274246.0000000012
13,MC MI_IDX T,479.73325921807816
14,MC T,22695.999999999975
14,MI_IDX T,8192.0
14,MC MI_IDX,1274246.0000000012
14,MC MI_IDX T,22696.00000000003
15,MC T,310341.0000000002
15,MI_IDX T,65535.99999999992
15,MC MI_IDX,1901965.0000000014
15,MC MI_IDX T,271256.25186527957
16,MC T,1220675.6491320634
16,MI_IDX T,262144.0
16,MC MI_IDX,1143296.3862336813
16,MC MI_IDX T,863148.0291305771
17,MC T,4895.999999999992
17,MI_IDX T,512.0
17,MC MI_IDX,1274246.0000000012
17,MC MI_IDX T,2904.4297202721236
18,MC T,6147.999999999994
18,MI_IDX T,1024.0
18,MC MI_IDX,1274246.0000000012
18,MC MI_IDX T,6068.705298496541
19,MC T,1070559.9999999984
19,MI_IDX T,262144.0
19,MC MI_IDX,1143296.3862336813
19,MC MI_IDX T,863148.0291305771
20,MC T,34384.99999999996
20,MI_IDX T,24237.00000000004
20,MC MI_IDX,4100660.908492193
20,MC MI_IDX T,97507.7590297305
21,MC T,409250.9999999998
21,MI_IDX T,65536.0
21,MC MI_IDX,1143296.3862336813
21,MC MI_IDX T,378254.7150903767
22,MC T,17983.00000000002
22,MI_IDX T,10327.000000000015
22,MC MI_IDX,3430643.111609688
22,MC MI_IDX T,54118.0961618376
23,MC T,58956.99999999992
23,MI_IDX T,16383.99999999998
23,MC MI_IDX,1274246.0000000012
23,MC MI_IDX T,58956.999999999854
24,MC T,1117389.9999999965
24,MI_IDX T,262144.0
24,MC MI_IDX,1274246.0000000012
24,MC MI_IDX T,1117389.9999999993
25,MC T,227.0
25,MI_IDX T,64.00000000000004
25,MC MI_IDX,1274246.0000000012
25,MC MI_IDX T,227.0
26,MC T,256.99999999999983
26,MI_IDX T,64.00000000000004
26,MC MI_IDX,1901965.0000000014
26,MC MI_IDX T,257.00000000000045
27,MC T,87.00000000000003
27,MI_IDX T,42.000000000000014
27,MC MI_IDX,6023891.641701857
27,MC MI_IDX T,159.37752937162202
28,MC T,205.00000000000006
28,MI_IDX T,64.00000000000004
28,MC MI_IDX,1274246.0000000012
28,MC MI_IDX T,205.00000000000006
29,MC T,100505.9999999999
29,MI_IDX T,32768.0
29,MC MI_IDX,1274246.0000000012
29,MC MI_IDX T,100505.99999999965
30,MC T,18731.000000000025
30,MI_IDX T,4096.0000000000055
30,MC MI_IDX,1143296.3862336813
30,MC MI_IDX T,18731.00000000005
31,MC T,717307.9999999986
31,MI_IDX T,425718.00000000047
31,MC MI_IDX,3430643.111609688
31,MC MI_IDX T,1781510.2514888872
32,MC T,18990.999999999975
32,MI_IDX T,8673.000000000013
32,MC MI_IDX,3430643.111609688
32,MC MI_IDX T,45433.658943562965
33,MC T,130633.00000000007
33,MI_IDX T,75045.00000000009
33,MC MI_IDX,3430643.111609688
33,MC MI_IDX T,379544.73477444006
34,MC T,200367.99999999994
34,MI_IDX T,111146.99999999994
34,MC MI_IDX,6023891.641701857
34,MC MI_IDX T,486077.1106974697
35,MC T,1070559.9999999984
35,MI_IDX T,262144.0
35,MC MI_IDX,1274246.0000000012
35,MC MI_IDX T,1070560.000000001
36,MC T,75723.00000000009
36,MI_IDX T,32768.0
36,MC MI_IDX,1143296.3862336813
36,MC MI_IDX T,75723.00000000009
37,MC T,179077.0000000001
37,MI_IDX T,106871.99999999991
37,MC MI_IDX,3430643.111609688
37,MC MI_IDX T,529709.2614255473
38,MC T,44310.99999999994
38,MI_IDX T,16384.0
38,MC MI_IDX,1274246.0000000012
38,MC MI_IDX T,44310.99999999994
39,MC T,1274245.9999999981
39,MI_IDX T,262144.0
39,MC MI_IDX,1274246.0000000012
39,MC MI_IDX T,1274246.0000000012
40,MC T,1274245.9999999981
40,MI_IDX T,262144.0
40,MC MI_IDX,1274246.0000000012
40,MC MI_IDX T,1274246.0000000012
41,MC T,1274245.9999999981
41,MI_IDX T,262144.0
41,MC MI_IDX,1274246.0000000012
41,MC MI_IDX T,1274246.0000000012
42,MC T,194256.99999999983
42,MI_IDX T,65536.0
42,MC MI_IDX,1274246.0000000012
42,MC MI_IDX T,194256.99999999983
43,MC T,351088.9999999991
43,MI_IDX T,65536.0
43,MC MI_IDX,1143296.3862336813
43,MC MI_IDX T,351089.0
44,MC T,1274245.9999999981
44,MI_IDX T,262144.0
44,MC MI_IDX,1274246.0000000012
44,MC MI_IDX T,1274246.0000000012
