QueryID,Tables,postgres_Estimate
1,MC T,1220
1,MI_IDX T,1331
1,MC MI_IDX,1184
1,MC MI_IDX T,1404
2,MC T,241
2,MI_IDX T,135
2,MC MI_IDX,243
2,MC MI_IDX T,243
3,MC T,32054
3,MI_IDX T,34293
3,MC MI_IDX,32036
3,MC MI_IDX T,31824
4,MC T,181
4,MI_IDX T,177
4,MC MI_IDX,190
4,MC MI_IDX T,180
5,MC T,271110
5,MI_IDX T,268519
5,MC MI_IDX,282029
5,MC MI_IDX T,258661
6,MC T,110112
6,MI_IDX T,103731
6,MC MI_IDX,104343
6,MC MI_IDX T,107646
7,MC T,70697
7,MI_IDX T,71188
7,MC MI_IDX,69073
7,MC MI_IDX T,64951
8,MC T,28410
8,MI_IDX T,30072
8,MC MI_IDX,28915
8,MC MI_IDX T,30772
9,MC T,2774
9,MI_IDX T,3153
9,MC MI_IDX,2920
9,MC MI_IDX T,3007
10,MC T,73920
10,MI_IDX T,71609
10,MC MI_IDX,68910
10,MC MI_IDX T,72247
11,MC T,17379
11,MI_IDX T,15483
11,MC MI_IDX,17096
11,MC MI_IDX T,15991
12,MC T,48
12,MI_IDX T,44
12,MC MI_IDX,46
12,MC MI_IDX T,44
13,MC T,1
13,MI_IDX T,1
13,MC MI_IDX,1
13,MC MI_IDX T,1
14,MC T,156
14,MI_IDX T,153
14,MC MI_IDX,156
14,MC MI_IDX T,159
15,MC T,279173
15,MI_IDX T,275315
15,MC MI_IDX,276678
15,MC MI_IDX T,269684
16,MC T,112694
16,MI_IDX T,106393
16,MC MI_IDX,107891
16,MC MI_IDX T,113610
17,MC T,2203
17,MI_IDX T,2090
17,MC MI_IDX,2157
17,MC MI_IDX T,2319
18,MC T,1015
18,MI_IDX T,971
18,MC MI_IDX,972
18,MC MI_IDX T,1040
19,MC T,12175
19,MI_IDX T,12340
19,MC MI_IDX,12397
19,MC MI_IDX T,12292
20,MC T,2909
20,MI_IDX T,2886
20,MC MI_IDX,2556
20,MC MI_IDX T,2637
21,MC T,9122
21,MI_IDX T,9057
21,MC MI_IDX,8356
21,MC MI_IDX T,9358
22,MC T,465
22,MI_IDX T,466
22,MC MI_IDX,452
22,MC MI_IDX T,476
23,MC T,1516
23,MI_IDX T,1669
23,MC MI_IDX,1491
23,MC MI_IDX T,1525
24,MC T,107389
24,MI_IDX T,101550
24,MC MI_IDX,106213
24,MC MI_IDX T,107190
25,MC T,1
25,MI_IDX T,1
25,MC MI_IDX,1
25,MC MI_IDX T,1
26,MC T,1
26,MI_IDX T,1
26,MC MI_IDX,1
26,MC MI_IDX T,1
27,MC T,38
27,MI_IDX T,35
27,MC MI_IDX,34
27,MC MI_IDX T,38
28,MC T,1
28,MI_IDX T,1
28,MC MI_IDX,1
28,MC MI_IDX T,1
29,MC T,834
29,MI_IDX T,851
29,MC MI_IDX,805
29,MC MI_IDX T,825
30,MC T,39
30,MI_IDX T,38
30,MC MI_IDX,37
30,MC MI_IDX T,38
31,MC T,91602
31,MI_IDX T,91968
31,MC MI_IDX,93496
31,MC MI_IDX T,93663
32,MC T,1380
32,MI_IDX T,1309
32,MC MI_IDX,1368
32,MC MI_IDX T,1266
33,MC T,2627
33,MI_IDX T,2603
33,MC MI_IDX,2727
33,MC MI_IDX T,2394
34,MC T,41068
34,MI_IDX T,39626
34,MC MI_IDX,38497
34,MC MI_IDX T,39727
35,MC T,51451
35,MI_IDX T,55039
35,MC MI_IDX,46435
35,MC MI_IDX T,51618
36,MC T,2
36,MI_IDX T,2
36,MC MI_IDX,1
36,MC MI_IDX T,2
37,MC T,21113
37,MI_IDX T,18600
37,MC MI_IDX,19441
37,MC MI_IDX T,18942
38,MC T,558
38,MI_IDX T,554
38,MC MI_IDX,560
38,MC MI_IDX T,564
39,MC T,122703
39,MI_IDX T,123816
39,MC MI_IDX,133655
39,MC MI_IDX T,130397
40,MC T,39828
40,MI_IDX T,38321
40,MC MI_IDX,40521
40,MC MI_IDX T,40805
41,MC T,47070
41,MI_IDX T,49482
41,MC MI_IDX,45999
41,MC MI_IDX T,46637
42,MC T,40014
42,MI_IDX T,41339
42,MC MI_IDX,43995
42,MC MI_IDX T,40863
43,MC T,9888
43,MI_IDX T,9142
43,MC MI_IDX,9478
43,MC MI_IDX T,9456
44,MC T,101196
44,MI_IDX T,102899
44,MC MI_IDX,99985
44,MC MI_IDX T,102841
45,MC T,204523
45,MI_IDX T,203266
45,MC MI_IDX,204719
45,MC MI_IDX T,203132
46,MC T,8953
46,MI_IDX T,9279
46,MC MI_IDX,9483
46,MC MI_IDX T,9267
47,MC T,5732
47,MI_IDX T,6074
47,MC MI_IDX,6094
47,MC MI_IDX T,5803
48,MC T,355
48,MI_IDX T,354
48,MC MI_IDX,361
48,MC MI_IDX T,335
49,MC T,131897
49,MI_IDX T,121674
49,MC MI_IDX,131092
49,MC MI_IDX T,132138
50,MC T,17
50,MI_IDX T,18
50,MC MI_IDX,17
50,MC MI_IDX T,18
51,MC T,1527
51,MI_IDX T,1606
51,MC MI_IDX,1605
51,MC MI_IDX T,1544
52,MC T,60549
52,MI_IDX T,59684
52,MC MI_IDX,62302
52,MC MI_IDX T,56394
53,MC T,18
53,MI_IDX T,19
53,MC MI_IDX,17
53,MC MI_IDX T,18
54,MC T,1176
54,MI_IDX T,1112
54,MC MI_IDX,1085
54,MC MI_IDX T,1143
55,MC T,376772
55,MI_IDX T,390015
55,MC MI_IDX,376104
55,MC MI_IDX T,382326
56,MC T,85
56,MK T,82
56,MC MK,82
56,MC MK T,82
57,MC T,5424
57,MK T,4153
57,MC MK,4329
57,MC MK T,3851
58,MC T,1
58,MK T,1
58,MC MK,1
58,MC MK T,1
59,MC T,4
59,MK T,5
59,MC MK,4
59,MC MK T,4
60,MC T,83
60,MK T,84
60,MC MK,80
60,MC MK T,80
61,MC T,1
61,MK T,1
61,MC MK,1
61,MC MK T,1
62,MC T,5000
62,MK T,4591
62,MC MK,4620
62,MC MK T,5104
63,MC T,218
63,MK T,292
63,MC MK,200
63,MC MK T,207
64,MC T,36
64,MK T,36
64,MC MK,34
64,MC MK T,36
65,MC T,176
65,MK T,170
65,MC MK,161
65,MC MK T,171
66,MC T,1
66,MK T,1
66,MC MK,1
66,MC MK T,1
67,MC T,1
67,MK T,1
67,MC MK,1
67,MC MK T,1
68,MC T,1
68,MK T,1
68,MC MK,1
68,MC MK T,1
69,MC T,10
69,MK T,9
69,MC MK,9
69,MC MK T,10
70,MC T,58
70,MK T,58
70,MC MK,56
70,MC MK T,59
71,MC T,26
71,MK T,27
71,MC MK,28
71,MC MK T,25
72,MC T,101
72,MK T,98
72,MC MK,100
72,MC MK T,101
73,MC T,59
73,MK T,55
73,MC MK,60
73,MC MK T,63
74,MC T,34
74,MK T,32
74,MC MK,33
74,MC MK T,34
75,MC T,25
75,MK T,25
75,MC MK,25
75,MC MK T,24
76,MC T,118
76,MK T,123
76,MC MK,116
76,MC MK T,112
77,MC T,1
77,MK T,1
77,MC MK,1
77,MC MK T,1
78,MC T,5
