QueryID,Tables,safebound_Estimate,safebound_InferenceTime
1,T MC,104621.66604671684,1.8840000000000001
1,T MI_IDX,62172.0,1.099
1,MC MI_IDX,6195516.357638417,0.18100000000000002
1,T MC MI_IDX,240756.36067939596,2.056
2,T MC,3047.0,1.718
2,T MI_IDX,341.79851344643697,1.3760000000000001
2,MC MI_IDX,1274246.0,0.749
2,T MC MI_IDX,2003.3727556195283,2.439
3,T MC,159510.79904999986,1.9889999999999999
3,T MI_IDX,83550.0,1.0959999999999999
3,MC MI_IDX,4822598.0,0.503
3,T MC MI_IDX,333236.9999999998,2.436
4,T MC,110827.0,1.842
4,T MI_IDX,73980.0,1.418
4,MC MI_IDX,1274246.0,0.736
4,T MC MI_IDX,108379.67019902932,2.66
5,T MC,585233.9999999999,1.028
5,T MI_IDX,390930.0,0.6970000000000001
5,MC MI_IDX,6195516.357638417,0.16799999999999998
5,T MC MI_IDX,1350089.6283400806,1.322
6,T MC,1307691.0,1.423
6,T MI_IDX,459925.0,1.0839999999999999
6,MC MI_IDX,1300180.0,0.6930000000000001
6,T MC MI_IDX,1277004.121509021,2.09
7,T MC,1274246.0,1.734
7,T MI_IDX,459925.0,1.286
7,MC MI_IDX,1274246.0,0.7699999999999999
7,T MC MI_IDX,1274246.0,2.4699999999999998
8,T MC,176588.0,1.8920000000000001
8,T MI_IDX,11132.29926067944,1.292
8,MC MI_IDX,1274246.0,0.742
8,T MC MI_IDX,29682.37269119804,2.659
9,T MC,87492.99999999999,1.939
9,T MI_IDX,58600.0,1.2570000000000001
9,MC MI_IDX,4822598.0,0.5
9,T MC MI_IDX,306720.0,2.544
10,T MC,1231232.0,1.575
10,T MI_IDX,459925.0,1.089
10,MC MI_IDX,1274246.0,0.731
10,T MC MI_IDX,1197269.6652050838,2.2279999999999998
11,T MC,200373.25116666665,1.406
11,T MI_IDX,53538.713322280215,1.072
11,MC MI_IDX,1300180.0,0.695
11,T MC MI_IDX,175993.00012950963,2.047
12,T MC,293.0,0.5479999999999999
12,T MI_IDX,39.80955166243023,0.768
12,MC MI_IDX,1778711.5894096042,0.42000000000000004
12,T MC MI_IDX,293.0,1.056
13,T MC,611.0000000000002,2.1710000000000003
13,T MI_IDX,58.33147770678816,1.861
13,MC MI_IDX,1274246.0,0.768
13,T MC MI_IDX,461.2049296860484,3.17
14,T MC,22696.0,1.949
14,T MI_IDX,9547.73727511075,1.518
14,MC MI_IDX,1274246.0,0.725
14,T MC MI_IDX,20026.41497152156,2.8019999999999996
15,T MC,310341.0,0.998
15,T MI_IDX,150489.0,0.873
15,MC MI_IDX,1778711.5894096042,0.422
15,T MC MI_IDX,228506.3171955291,1.646
16,T MC,1307691.0,1.531
16,T MI_IDX,459925.0,1.116
16,MC MI_IDX,1300180.0,0.696
16,T MC MI_IDX,1280374.6610327049,2.2439999999999998
17,T MC,5257.0,1.2429999999999999
17,T MI_IDX,238.21236749195415,1.046
17,MC MI_IDX,1274246.0,0.727
17,T MC MI_IDX,1861.576859230168,1.847
18,T MC,11818.926537810688,1.867
18,T MI_IDX,921.5607936801906,1.472
18,MC MI_IDX,1274246.0,0.726
18,T MC MI_IDX,6048.202057202401,2.6940000000000004
19,T MC,615637.0,1.738
19,T MI_IDX,334392.0,1.2730000000000001
19,MC MI_IDX,1300180.0,0.6880000000000001
19,T MC MI_IDX,614242.5126742856,2.4810000000000003
20,T MC,34385.0,2.025
20,T MI_IDX,24237.0,1.3339999999999999
20,MC MI_IDX,4822598.0,0.495
20,T MC MI_IDX,103155.00000000004,2.6679999999999997
21,T MC,308222.9999999999,2.306
21,T MI_IDX,161091.81865605272,1.496
21,MC MI_IDX,1300180.0,0.69
21,T MC MI_IDX,308222.9999999999,3.269
22,T MC,19938.0,2.052
22,T MI_IDX,10328.0,1.375
22,MC MI_IDX,4741055.0,0.46799999999999997
22,T MC MI_IDX,57029.86464360929,2.649
23,T MC,65578.0,1.738
23,T MI_IDX,21432.051028940878,1.331
23,MC MI_IDX,1274246.0,0.7240000000000001
23,T MC MI_IDX,64465.51623944104,2.594
24,T MC,1107987.0,1.691
24,T MI_IDX,459925.0,1.198
24,MC MI_IDX,1274246.0,0.725
24,T MC MI_IDX,1107987.0,2.46
25,T MC,293.0,1.423
25,T MI_IDX,40.48860581979666,1.212
25,MC MI_IDX,1274246.0,0.7240000000000001
25,T MC MI_IDX,293.0,2.097
26,T MC,293.0,1.667
26,T MI_IDX,48.48630887185104,1.804
26,MC MI_IDX,1778711.5894096042,0.419
26,T MC MI_IDX,293.0,2.605
27,T MC,293.0,1.13
27,T MI_IDX,159.0,0.9790000000000001
27,MC MI_IDX,6195516.357638417,0.175
27,T MC MI_IDX,1172.0,1.601
28,T MC,290.17399691358025,1.8010000000000002
28,T MI_IDX,49.22033898305085,1.666
28,MC MI_IDX,1274246.0,0.726
28,T MC MI_IDX,290.17399691358025,2.763
29,T MC,114526.0,1.8940000000000001
29,T MI_IDX,49744.14808331875,1.45
29,MC MI_IDX,1274246.0,0.761
29,T MC MI_IDX,102368.89327187136,2.776
30,T MC,18798.0,1.952
30,T MI_IDX,7391.122319848862,1.5579999999999998
30,MC MI_IDX,1300180.0,0.6970000000000001
30,T MC MI_IDX,18372.425569388637,2.827
31,T MC,672806.0,1.6949999999999998
31,T MI_IDX,411996.0,1.073
31,MC MI_IDX,4741055.0,0.45899999999999996
31,T MC MI_IDX,1414564.4056128082,2.1870000000000003
32,T MC,18991.0,1.89
32,T MI_IDX,8673.0,1.321
32,MC MI_IDX,4741055.0,0.457
32,T MC MI_IDX,49900.0,2.524
33,T MC,138033.00000000003,1.459
33,T MI_IDX,84603.0,0.83
33,MC MI_IDX,4741055.0,0.46
33,T MC MI_IDX,296939.803012091,1.88
34,T MC,200373.25116666665,1.304
34,T MI_IDX,111147.0,0.9790000000000001
34,MC MI_IDX,6195516.357638417,0.176
34,T MC MI_IDX,502316.9999999998,1.83
35,T MC,615636.9999999999,1.564
35,T MI_IDX,328015.500687717,1.111
35,MC MI_IDX,1274246.0,0.727
35,T MC MI_IDX,605372.5063933377,2.221
36,T MC,75723.0,2.54
36,T MI_IDX,38081.08176050116,1.7129999999999999
36,MC MI_IDX,1300180.0,0.7010000000000001
36,T MC MI_IDX,75723.0,3.3409999999999997
37,T MC,194247.00000000003,1.062
37,T MI_IDX,113037.0,0.531
