QueryID,Tables,truecardinality_Estimate
1,MC T,6455
1,MI_IDX T,3969
1,MC MI_IDX,4073078
1,MC MI_IDX T,11637
2,MC T,534
2,MI_IDX T,189
2,MC MI_IDX,770661
2,MC MI_IDX T,383
3,MC T,71674
3,MI_IDX T,65601
3,MC MI_IDX,2319675
3,MC MI_IDX T,79017
4,MC T,10476
4,MI_IDX T,5131
4,MC MI_IDX,770661
4,MC MI_IDX T,6167
5,MC T,46129
5,MI_IDX T,42477
5,MC MI_IDX,4073078
5,MC MI_IDX T,91761
6,MC T,463094
6,MI_IDX T,175862
6,MC MI_IDX,584222
6,MC MI_IDX T,266208
7,MC T,431624
7,MI_IDX T,121835
7,MC MI_IDX,770661
7,MC MI_IDX T,293277
8,MC T,30621
8,MI_IDX T,2244
8,MC MI_IDX,770661
8,MC MI_IDX T,3014
9,MC T,14722
9,MI_IDX T,19614
9,MC MI_IDX,2319675
9,MC MI_IDX T,37797
10,MC T,214968
10,MI_IDX T,66746
10,MC MI_IDX,770661
10,MC MI_IDX T,154286
11,MC T,98165
11,MI_IDX T,33724
11,MC MI_IDX,584222
11,MC MI_IDX T,50805
12,MC T,34
12,MI_IDX T,1
12,MC MI_IDX,1354883
12,MC MI_IDX T,33
13,MC T,2
13,MI_IDX T,1
13,MC MI_IDX,770661
13,MC MI_IDX T,2
14,MC T,1064
14,MI_IDX T,486
14,MC MI_IDX,770661
14,MC MI_IDX T,711
15,MC T,214090
15,MI_IDX T,38096
15,MC MI_IDX,1354883
15,MC MI_IDX T,74486
16,MC T,282430
16,MI_IDX T,94491
16,MC MI_IDX,584222
16,MC MI_IDX T,158431
17,MC T,1293
17,MI_IDX T,156
17,MC MI_IDX,770661
17,MC MI_IDX T,372
18,MC T,3578
18,MI_IDX T,826
18,MC MI_IDX,770661
18,MC MI_IDX T,2362
19,MC T,77355
19,MI_IDX T,26845
19,MC MI_IDX,584222
19,MC MI_IDX T,36816
20,MC T,5043
20,MI_IDX T,8319
20,MC MI_IDX,2319675
20,MC MI_IDX T,9552
21,MC T,12594
21,MI_IDX T,3232
21,MC MI_IDX,584222
21,MC MI_IDX T,5380
22,MC T,519
22,MI_IDX T,729
22,MC MI_IDX,1753403
22,MC MI_IDX T,828
23,MC T,12371
23,MI_IDX T,5009
23,MC MI_IDX,770661
23,MC MI_IDX T,11091
24,MC T,184386
24,MI_IDX T,71691
24,MC MI_IDX,770661
24,MC MI_IDX T,142270
25,MC T,7
25,MI_IDX T,5
25,MC MI_IDX,770661
25,MC MI_IDX T,7
26,MC T,3
26,MI_IDX T,1
26,MC MI_IDX,1354883
26,MC MI_IDX T,3
27,MC T,17
27,MI_IDX T,3
27,MC MI_IDX,4073078
27,MC MI_IDX T,9
28,MC T,6
28,MI_IDX T,1
28,MC MI_IDX,770661
28,MC MI_IDX T,6
29,MC T,15159
29,MI_IDX T,5755
29,MC MI_IDX,770661
29,MC MI_IDX T,12368
30,MC T,261
30,MI_IDX T,87
30,MC MI_IDX,584222
30,MC MI_IDX T,128
31,MC T,34906
31,MI_IDX T,20484
31,MC MI_IDX,1753403
31,MC MI_IDX T,27753
32,MC T,1637
32,MI_IDX T,2022
32,MC MI_IDX,1753403
32,MC MI_IDX T,2562
33,MC T,56390
33,MI_IDX T,64830
33,MC MI_IDX,1753403
33,MC MI_IDX T,88620
34,MC T,102620
34,MI_IDX T,58797
34,MC MI_IDX,4073078
34,MC MI_IDX T,163824
35,MC T,160916
35,MI_IDX T,50715
35,MC MI_IDX,770661
35,MC MI_IDX T,112070
36,MC T,2008
36,MI_IDX T,868
36,MC MI_IDX,584222
36,MC MI_IDX T,1110
37,MC T,19221
37,MI_IDX T,22536
37,MC MI_IDX,1753403
37,MC MI_IDX T,30990
38,MC T,9826
38,MI_IDX T,6073
38,MC MI_IDX,770661
38,MC MI_IDX T,6304
39,MC T,385593
39,MI_IDX T,120423
39,MC MI_IDX,770661
39,MC MI_IDX T,274616
40,MC T,185487
40,MI_IDX T,74578
40,MC MI_IDX,770661
40,MC MI_IDX T,152818
41,MC T,263976
41,MI_IDX T,72095
41,MC MI_IDX,770661
41,MC MI_IDX T,168856
42,MC T,95976
42,MI_IDX T,37686
42,MC MI_IDX,770661
42,MC MI_IDX T,57841
43,MC T,26124
43,MI_IDX T,7939
43,MC MI_IDX,584222
43,MC MI_IDX T,13480
44,MC T,357303
44,MI_IDX T,140298
44,MC MI_IDX,770661
44,MC MI_IDX T,296250
45,MC T,372873
45,MI_IDX T,119083
45,MC MI_IDX,584222
45,MC MI_IDX T,141823
46,MC T,65866
46,MI_IDX T,25006
46,MC MI_IDX,770661
46,MC MI_IDX T,39346
47,MC T,4335
47,MI_IDX T,1041
47,MC MI_IDX,770661
47,MC MI_IDX T,3529
48,MC T,4238
48,MI_IDX T,3414
48,MC MI_IDX,2319675
48,MC MI_IDX T,4509
49,MC T,52653
49,MI_IDX T,13001
49,MC MI_IDX,1354883
49,MC MI_IDX T,28307
50,MC T,1
50,MI_IDX T,3
50,MC MI_IDX,2319675
50,MC MI_IDX T,3
51,MC T,23171
51,MI_IDX T,8628
51,MC MI_IDX,770661
51,MC MI_IDX T,18602
52,MC T,27567
52,MI_IDX T,25779
52,MC MI_IDX,2319675
52,MC MI_IDX T,32106
53,MC T,766
53,MI_IDX T,1083
53,MC MI_IDX,2319675
53,MC MI_IDX T,1644
54,MC T,5224
54,MI_IDX T,2315
54,MC MI_IDX,584222
54,MC MI_IDX T,3476
55,MC T,128929
55,MI_IDX T,50163
55,MC MI_IDX,770661
55,MC MI_IDX T,55272
56,MC T,448928
56,MK T,110
56,MC MK,4173
56,MC MK T,1286
57,MC T,507708
57,MK T,2242
57,MC MK,42965
57,MC MK T,16315
58,MC T,39
58,MK T,1
58,MC MK,239
58,MC MK T,23
59,MC T,45691
59,MK T,2
59,MC MK,1226
59,MC MK T,26
60,MC T,437657
60,MK T,14
60,MC MK,308
60,MC MK T,188
61,MC T,72
61,MK T,1
61,MC MK,3514
61,MC MK T,14
62,MC T,4398
62,MK T,22388
62,MC MK,8420451
62,MC MK T,76294
63,MC T,1956
63,MK T,3834
63,MC MK,26443187
63,MC MK T,14534
64,MC T,216918
64,MK T,52
64,MC MK,8147
64,MC MK T,300
65,MC T,667070
65,MK T,366
65,MC MK,5955
65,MC MK T,5577
66,MC T,365
66,MK T,1
66,MC MK,2083
66,MC MK T,13
67,MC T,17
67,MK T,1
67,MC MK,1255
67,MC MK T,10
68,MC T,7303
68,MK T,24
68,MC MK,16528
68,MC MK T,174
69,MC T,101671
69,MK T,43
69,MC MK,1765
69,MC MK T,341
70,MC T,296918
70,MK T,695
70,MC MK,4760
70,MC MK T,2375
71,MC T,72265
71,MK T,58
71,MC MK,2879
71,MC MK T,76
72,MC T,445409
72,MK T,242
72,MC MK,6815
72,MC MK T,2601
73,MC T,197
73,MK T,1356
73,MC MK,26443187
73,MC MK T,15764
74,MC T,406093
74,MK T,420
74,MC MK,5613
74,MC MK T,3025
75,MC T,287330
75,MK T,287
75,MC MK,12832
75,MC MK T,4475
76,MC T,659535
76,MK T,141
76,MC MK,3447
76,MC MK T,1090
77,MC T,5
77,MK T,1
77,MC MK,1303
77,MC MK T,4
78,MC T,34131
78,MK T,39
78,MC MK,14310
78,MC MK T,645
79,MC T,154091
79,MK T,143
79,MC MK,7509
79,MC MK T,1149
80,MC T,545
80,MK T,1
80,MC MK,6044
80,MC MK T,29
81,MC T,71758
81,MK T,6
81,MC MK,1630
81,MC MK T,82
82,MC T,61
82,MK T,380
82,MC MK,26443187
82,MC MK T,4577
83,MC T,667070
83,MK T,178
83,MC MK,2280
83,MC MK T,2124
84,MC T,35
84,MK T,1
84,MC MK,111
84,MC MK T,1
85,MC T,149
85,MK T,1
85,MC MK,461
85,MC MK T,37
86,MC T,97100
86,MK T,1
86,MC MK,21
86,MC MK T,1
87,MC T,215
87,MK T,1
87,MC MK,5613
87,MC MK T,34
88,MC T,31633
88,MK T,44
88,MC MK,10478
88,MC MK T,815
89,MC T,37
89,MK T,182
89,MC MK,34863638
89,MC MK T,2771
90,MC T,128081
90,MK T,101
90,MC MK,12814
90,MC MK T,298
91,MC T,1336
91,MK T,2
91,MC MK,6174
91,MC MK T,15
92,MC T,156255
92,MK T,75
92,MC MK,1169
92,MC MK T,287
93,MC T,86186
93,MK T,70
93,MC MK,30121
93,MC MK T,307
94,MC T,592966
94,MK T,1134
94,MC MK,16590
94,MC MK T,7856
95,MC T,339734
95,MK T,853
95,MC MK,31479
95,MC MK T,9209
96,MC T,114155
96,MK T,139537
96,MC MK,34863638
96,MC MK T,509688
97,MC T,179
97,MK T,773
97,MC MK,26443187
97,MC MK T,4327
98,MC T,305
98,MK T,2
98,MC MK,9084
98,MC MK T,64
99,MC T,612
99,MK T,2589
99,MC MK,26443187
99,MC MK T,32961
100,MC T,29
100,MK T,1
100,MC MK,2495
100,MC MK T,29
101,MC T,84
101,MK T,2
101,MC MK,10001
101,MC MK T,20
102,MC T,40588
102,MK T,21
102,MC MK,1653
102,MC MK T,79
103,MC T,34353
103,MK T,4
103,MC MK,652
103,MC MK T,22
104,MC T,422312
104,MK T,329
104,MC MK,3597
104,MC MK T,1179
105,MC T,7314
105,MK T,1
105,MC MK,156
105,MC MK T,5
106,MC T,253760
106,MK T,13
106,MC MK,104
106,MC MK T,53
107,MC T,129
107,MK T,479
107,MC MK,8420451
107,MC MK T,1520
108,MC T,221212
108,MK T,303
108,MC MK,5891
108,MC MK T,2001
109,MC T,360670
109,MK T,286
109,MC MK,5283
109,MC MK T,2176
110,MC T,906
110,MK T,1
110,MC MK,20201
110,MC MK T,46
111,MI T,27
111,MK T,1
111,MI MK,8463
111,MI MK T,27
112,MI T,169
112,MK T,116168
112,MI MK,512090
112,MI MK T,10320
113,MI T,1247
113,MK T,2
113,MI MK,921
113,MI MK T,40
114,MI T,2062709
114,MK T,293
114,MI MK,171166
114,MI MK T,25615
115,MI T,1158
115,MK T,104
115,MI MK,13914
115,MI MK T,199
116,MI T,27727
116,MK T,1256
116,MI MK,27522
116,MI MK T,5053
117,MI T,92
117,MK T,1
117,MI MK,25507
117,MI MK T,79
118,MI T,5920
118,MK T,168609
118,MI MK,13659933
118,MI MK T,678178
119,MI T,1320777
119,MK T,100
119,MI MK,63606
119,MI MK T,9128
120,MI T,56974
120,MK T,1
120,MI MK,59
120,MI MK T,59
121,MI T,618967
121,MK T,2344
121,MI MK,3764
121,MI MK T,3347
122,MI T,1083597
122,MK T,1577
122,MI MK,20242
122,MI MK T,19130
123,MI T,1375866
123,MK T,1
123,MI MK,239
123,MI MK T,99
124,MI T,117168
124,MK T,4
124,MI MK,216913
124,MI MK T,695
125,MI T,139
125,MK T,1
125,MI MK,2276
125,MI MK T,5
126,MI T,70
126,MK T,1
126,MI MK,4463
126,MI MK T,8
127,MI T,198257
127,MK T,1449
127,MI MK,21611
127,MI MK T,17020
128,MI T,43
128,MK T,1
128,MI MK,81
128,MI MK T,43
129,MI T,45546
129,MK T,167
129,MI MK,5745
129,MI MK T,1399
130,MI T,1046621
130,MK T,2716778
130,MI MK,8855087
130,MI MK T,6594972
131,MI T,75566
131,MK T,1
131,MI MK,23
131,MI MK T,23
132,MI T,5134937
132,MK T,578
132,MI MK,79731
132,MI MK T,56888
133,MI T,269909
133,MK T,3470
133,MI MK,26446
133,MI MK T,23150
134,MI T,442109
