QueryID,Tables,bayescard_Estimate
1,U B,84477.14389
2,B C U,10110734.52
3,PH C U,1684633.681
4,PH C U,2033773.252
5,V C U,7485615.657
6,P B U,405868.0857
7,P C U,57233042.64
7,PL P,10973.0294
7,PL C P U,9777708.074
8,P C U,43418306.62
8,PL P,8560.351472
8,PL C P U,6265767.254
9,P C,175084.2952
9,PH C P,704085.0
9,PH P,303005.0
9,PH C P,698213.0
10,P C U,950903.7945
10,U C,167269.4837
10,U P,18581.2164
10,U C P,950903.7945
11,P C U,1619356.746
11,U C,56825.54111
11,U P,28890.73754
11,U C P,599018.1744
12,PH C U,263000000.0
12,U C,55330.42416
12,U PH,135763.9721
12,U C PH,1170000.0
13,V C U,10959719.23
13,U C,63249.42779
13,U V,31450.97234
13,U C V,297247.9846
14,V C U,446278.6151
14,U C,15313.1712
14,U V,100.861691
14,U C V,74.46440562
15,B C U,9957437.227
15,U C,127732.852
15,U B,81161.21755
15,U C B,9955495.135
16,B C U,10138433.68
16,U C,47930.036
16,U B,51723.0233
16,U C B,216266.7131
17,T P,580.7566985
17,V P U,2878981.367
17,V P T U,18210.46355
18,PL P,11038.25204
18,PH P,293131.7118
18,PH PL P,83244.70545
18,PH P PL,82678.33629
19,PL P,11082.42523
19,U P,91000.62852
19,U P PL,15173.95802
20,P PH,287808.152
20,U P,70441.35997
20,U PH P,226499.1634
21,P V,288134.4988
21,U V,35028.6685
21,U V P,268505.4075
22,P V U,2880540.987
22,U V,42084.6357
22,U P,87595.21542
22,U V P,2652403.549
23,B V U,1272748.932
23,U V,26441.10813
23,U B,63444.10062
23,U V B,292806.1257
24,B V U,41140.17466
24,U V,1327.593359
24,U B,63444.10062
24,U V B,10843.07379
25,P C,173480.464
25,PL C P,30906.35905
25,V C P,648293.8411
25,PL P,11092.1218
25,V P,255575.7476
25,V PL P,78124.11457
25,PL C P,30857.26109
25,V C P,648120.2277
25,V C PL P,194839.384
25,V P PL,78104.77635
25,V C P PL,194789.9909
26,P C,171835.8741
26,PL C P,29568.00137
26,PL P,15050.2513
26,U P,79837.09747
26,PL C P,29568.00137
26,U C P,143844.1219
26,U P PL,29427.68169
26,U C P PL,24751.42758
27,P C U,40277244.98
27,V C U,239879.7314
27,U C,35561.71963
27,V P U,113072.7808
27,U P,39385.70386
27,U V,277.1810883
27,V C P U,259202723.9
27,U C P,550401.0811
27,U C V,992.4008476
27,U P V,3122.658669
27,U C P V,15661.95823
28,P V,274487.1443
28,B P U,3636136.792
28,U P,91446.83805
28,U B,84231.00871
28,B V P U,15945583.57
28,U V P,376310.6106
28,U P B,3635769.218
28,U V P B,15944162.23
29,P V,94148.89596
29,B P U,196842.8302
29,U P,17987.19397
29,U B,61187.96461
29,B V P U,1004851.25
29,U V P,76966.53409
29,U P B,93700.88282
29,U V P B,414312.0897
30,P V U,1172143.218
30,B V U,1272748.932
30,U V,43960.43671
30,B P U,1478871.904
30,U P,37855.33634
30,U B,84820.36277
30,B V P U,216761749.4
30,U V P,1172143.218
30,U V B,1272748.932
30,U P B,1478871.904
30,U V P B,216761749.4
31,P V U,371062.9772
31,B V U,980475.5679
31,U V,31642.38073
31,B P U,398843.5285
31,U P,42521.73536
31,U B,70441.76578
31,B V P U,15361817.31
31,U V P,231767.1939
31,U V B,534012.2083
31,U P B,283076.6514
31,U V P B,4640864.642
32,PH C U,212000000.0
32,V C U,10916859.36
32,U C,59203.76077
32,V PH U,10434677.73
32,U PH,137414.2959
32,U V,19309.1304
32,V C PH U,48600000000.0
32,U C PH,2290000.0
32,U C V,182634.7303
32,U PH V,289552.456
32,U C PH V,14500000.0
33,PH C U,263000000.0
33,V C U,503482.431
33,U C,20776.50784
33,V PH U,542181.9864
33,U PH,71036.98754
33,U V,16.96838673
33,V C PH U,2722527949.0
33,U C PH,263000.0
33,U C V,17.80043794
33,U PH V,43.28598406
33,U C PH V,871.2020619
34,V C U,2191673.494
34,B C U,3277250.136
34,U C,24364.82554
