QueryID,Tables,mssql_Estimate
1,B U,68812.2
2,B C,421165.0
3,C PH,235889.0
4,C PH,301911.0
5,C V,338127.0
6,B P,131585.0
7,C P,696405.0
7,P PL,8713.35
7,C P PL,66754.9
8,C P,530783.0
8,P PL,7617.06
8,C P PL,45159.1
9,C P,145043.0
9,P PH,246320.0
9,C PH,574579.0
9,C P PH,482036.0
10,C U,158960.0
10,C P,65222.1
10,P U,7533.18
10,C P U,47179.3
11,C U,119107.0
11,C P,163487.0
11,P U,23057.8
11,C P U,174625.0
12,C U,153047.0
12,PH U,235549.0
12,C PH,2150350.0
12,C PH U,2291930.0
13,C U,157898.0
13,U V,32207.4
13,C V,433481.0
13,C U V,478711.0
14,C U,121838.0
14,U V,128.753
14,C V,2146.36
14,C U V,1871.23
15,C U,124358.0
15,B U,68666.4
15,B C,420994.0
15,B C U,445780.0
16,C U,119174.0
16,B U,65830.9
16,B C,422261.0
16,B C U,427928.0
17,P T,562.036
17,P V,145894.0
17,P T V,894.708
18,P PL,8785.0
18,P PH,245164.0
18,PH PL,36544.6
18,P PH PL,29154.3
19,P PL,8803.16
19,P U,80060.8
19,P PL U,7674.34
20,P PH,231787.0
20,P U,77723.2
20,P PH U,202334.0
21,P V,280679.0
21,U V,31779.4
21,P U V,27238.3
22,P V,145360.0
22,U V,32135.8
22,P U,78777.6
22,P U V,156149.0
23,U V,31958.4
23,B U,67537.5
23,B V,110754.0
23,B U V,114796.0
24,U V,128.228
24,B U,67537.5
24,B V,444.382
24,B U V,460.601
25,C P,144201.0
25,P PL,8809.58
25,C PL,36034.1
25,C V,590758.0
25,PL V,37844.6
25,C P PL,28814.3
25,C P V,524138.0
25,P PL V,32019.3
25,C PL V,122775.0
25,C P PL V,104727.0
26,C P,141575.0
26,P PL,10572.0
26,P U,78913.6
26,C PL,35346.8
26,C P PL,33913.9
26,C P U,121469.0
26,P PL U,9070.61
26,C P PL U,29097.4
27,C U,119361.0
27,P U,76497.0
27,U V,125.141
27,C P,541081.0
27,C V,1355.27
