QueryID,Tables,duckdb_Estimate,duckdb_InferenceTime
1,B U,15970,3.501415252685547
2,B C,7575,1.4295578002929688
3,C PH,20482,1.6834735870361328
4,C PH,368673,2.1789073944091797
5,C V,732189,2.007007598876953
6,B P,14389,1.9202232360839844
7,C P,284754,2.712249755859375
7,P PL,2220,2.6559829711914062
7,C P PL,34371,2.398252487182617
8,C P,15820,2.8307437896728516
8,P PL,1110,2.7856826782226562
8,C P PL,954,3.0028820037841797
9,C P,34860,2.328157424926758
9,P PH,60636,2.024412155151367
9,C PH,1823065,1.2524127960205078
9,C P PH,114913,4.043817520141602
10,C U,34861,1.9862651824951172
10,C P,56950,2.249479293823242
10,P U,18395,2.5920867919921875
10,C P U,15902,3.51715087890625
11,C U,1936,2.259969711303711
11,C P,15820,2.0515918731689453
11,P U,3679,2.270221710205078
11,C P U,883,3.2172203063964844
12,C U,34861,1.6727447509765625
12,PH U,60637,2.1810531616210938
12,C PH,9216430,1.6033649444580078
12,C PH U,262105,4.024505615234375
13,C U,6972,1.8053054809570312
13,U V,65612,1.4922618865966797
13,C V,2635777,1.4524459838867188
13,C U V,56722,2.3317337036132812
14,C U,298,1.6434192657470703
14,U V,561,2.312898635864258
14,C V,527149,2.225637435913086
14,C U V,485,3.0646324157714844
15,C U,1936,2.4132728576660156
15,B U,3194,1.9788742065429688
15,B C,7575,1.5034675598144531
15,B C U,767,2.2208690643310547
16,C U,1936,1.7735958099365234
16,B U,3194,1.7774105072021484
16,B C,7575,1.3561248779296875
16,B C U,767,2.4595260620117188
17,P T,206,1.9309520721435547
17,P V,535944,1.8150806427001953
17,P T V,6013,2.1474361419677734
18,P PL,2220,2.259969711303711
18,P PH,12127,1.8010139465332031
18,PH PL,23223,2.080202102661133
18,P PH PL,1463,3.5576820373535156
19,P PL,2220,1.5807151794433594
19,P U,3679,2.9277801513671875
19,P PL U,444,3.358602523803711
20,P PH,12127,1.9192695617675781
20,P U,3679,1.9686222076416016
20,P PH U,2425,3.2439231872558594
21,P V,13122,1.8758773803710938
21,U V,13122,1.67083740234375
21,P U V,2624,2.7785301208496094
22,P V,535944,1.873016357421875
22,U V,65612,1.523733139038086
22,P U,3679,1.8036365509033203
22,P U V,29930,2.5014877319335938
23,U V,65612,4.20379638671875
23,B U,15970,1.7859935760498047
23,B V,1283185,3.3583641052246094
23,B U V,129925,2.882242202758789
24,U V,2430,1.9309520721435547
24,B U,2958,1.33514404296875
24,B V,256634,1.4390945434570312
24,B U V,4813,2.0372867584228516
25,C P,6972,1.6779899597167969
25,P PL,2220,1.7201900482177734
25,C PL,19120,3.576040267944336
25,C V,17291,3.5903453826904297
25,PL V,5506,1.8427371978759766
25,C P PL,841,3.6792755126953125
25,C P V,2072,5.415439605712891
25,P PL V,659,3.0431747436523438
25,C PL V,3482,2.8808116912841797
25,C P PL V,250,6.641387939453125
26,C P,34861,4.22978401184082
26,P PL,11102,2.445220947265625
26,P U,18395,3.7539005279541016
26,C PL,19120,2.0287036895751953
26,C P PL,4207,2.568960189819336
26,C P U,6972,2.458333969116211
26,P PL U,2220,2.23541259765625
26,C P PL U,841,4.145383834838867
27,C U,1936,3.1397342681884766
27,P U,3679,2.4497509002685547
27,U V,13122,4.5871734619140625
27,C P,15820,2.2079944610595703
27,C V,146436,4.117012023925781
27,P V,107187,2.4530887603759766
27,C P U,883,3.839254379272461
27,C U V,3151,2.660036087036133
27,P U V,5986,2.841472625732422
27,C P V,92185,2.7489662170410156
27,C P U V,1437,4.0607452392578125
28,P V,65612,2.9168128967285156
28,P U,3679,2.0987987518310547
28,B P,71949,4.207849502563477
28,B U,15970,1.7867088317871094
28,P U V,13122,6.525278091430664
28,B P V,256634,3.033876419067383
28,B P U,7285,2.822399139404297
28,B P U V,25984,3.072500228881836
29,P V,13122,1.9817352294921875
29,P U,3679,2.223968505859375
29,B P,14390,2.2852420806884766
29,B U,3194,3.413677215576172
29,P U V,2624,4.944086074829102
29,B P V,10265,3.6897659301757812
29,B P U,1457,7.449150085449219
29,B P U V,1039,10.136842727661133
30,U V,328064,3.0639171600341797
30,P U,3680,2.704143524169922
30,B U,79851,2.5832653045654297
30,P V,107218,2.3031234741210938
30,B V,1283185,3.0384063720703125
30,B P,14393,2.395153045654297
30,P U V,29938,7.42340087890625
30,B U V,649627,5.017280578613281
30,B P U,7287,3.8874149322509766
30,B P V,231306,4.29987907409668
30,B P U V,59284,9.536981582641602
31,U V,13122,3.1998157501220703
31,P U,3679,5.171775817871094
31,B U,3194,4.1828155517578125
31,P V,107187,5.201816558837891
31,B V,51326,4.186391830444336
31,B P,14389,4.924297332763672
31,P U V,5986,7.536649703979492
31,B U V,5196,5.932807922363281
31,B P U,1457,7.263660430908203
31,B P V,46247,6.265401840209961
31,B P U V,2370,8.730649948120117
32,U V,13122,2.2737979888916016
32,PH U,12127,1.9845962524414062
32,PH V,693846,3.6051273345947266
32,C V,527149,2.577066421508789
32,C PH,368654,2.9807090759277344
32,PH U V,19732,4.078149795532227
32,C U V,11344,4.479169845581055
32,C PH U,10484,6.332874298095703
32,C PH V,4218377,6.415843963623047
32,C PH U V,17058,8.720874786376953
33,U V,561,3.9060115814208984
33,PH U,2593,4.92095947265625
33,PH V,3469254,4.02379035949707
33,C V,2635745,4.574060440063477
33,C PH,9216430,3.455638885498047
33,PH U V,4220,7.852315902709961
33,C U V,2426,7.177829742431641
33,C PH U,11212,6.398677825927734
33,C PH V,105460134,5.63359260559082
33,C PH U V,18243,8.627891540527344
34,C U,1936,2.782106399536133
34,U V,65612,4.19306755065918
34,B U,15970,3.8056373596191406
34,C V,732189,4.4155120849609375
34,B C,37877,1.8744468688964844
34,B V,1283185,2.6493072509765625
34,C U V,15756,3.8919448852539062
34,B C U,3835,3.389120101928711
34,B U V,129925,5.910158157348633
34,B C V,608688,6.024360656738281
34,B C U V,31201,8.545398712158203
35,C U,1936,2.040386199951172
35,U V,13122,4.59742546081543
35,B U,15970,2.271413803100586
35,C V,146436,3.155946731567383
35,B C,37877,3.4558773040771484
35,B V,256634,4.142045974731445
35,C U V,3151,3.6690235137939453
35,B C U,3835,4.091501235961914
35,B U V,25984,7.039308547973633
35,B C V,121736,5.735635757446289
35,B C U V,6240,7.706880569458008
36,C U,1936,1.9884109497070312
36,U V,13122,2.274751663208008
36,B U,15970,3.866434097290039
36,C V,146436,3.2262802124023438
36,B C,37877,1.346588134765625
36,B V,256634,1.6531944274902344
36,C U V,3151,7.207632064819336
36,B C U,3835,4.701375961303711
36,B U V,25984,6.641626358032227
36,B C V,121736,4.372119903564453
36,B C U V,6240,7.730007171630859
37,C PL,95604,2.565622329711914
37,PH PL,23223,4.150152206420898
37,C PH,364610,4.1179656982421875
37,C V,1037468,1.7218589782714844
37,PH V,360913,1.8875598907470703
37,C PH PL,139640,2.25830078125
37,C PL V,208969,5.526065826416016
37,PH PL V,72696,6.270408630371094
37,C PH V,1141351,5.581378936767578
37,C PH PL V,229893,7.300138473510742
38,C U,9684,1.9168853759765625
38,PH U,12128,1.7857551574707031
38,B U,15970,1.4123916625976562
38,C PH,20482,5.013704299926758
38,B C,7575,4.289865493774414
38,B PH,9487,2.6335716247558594
38,C PH U,2912,4.345893859863281
38,B C U,3835,5.808830261230469
38,B PH U,4803,6.494998931884766
38,B C PH,4500,6.271600723266602
38,B C PH U,1153,8.108139038085938
39,C U,1936,2.2873878479003906
39,PH U,2425,2.0339488983154297
39,B U,15970,1.9500255584716797
39,C PH,20482,1.9800662994384766
39,B C,37877,1.5094280242919922
39,B PH,47437,1.4526844024658203
39,C PH U,582,2.847909927368164
39,B C U,3835,2.376079559326172
39,B PH U,4803,5.446672439575195
39,B C PH,22502,4.902362823486328
39,B C PH U,1153,8.086681365966797
40,P PL,1110,2.3567676544189453
40,P U,3679,2.232074737548828
40,B P,71949,1.9497871398925781
40,B U,15970,4.253864288330078
40,P PL U,222,7.781028747558594
40,B P PL,4342,7.270336151123047
40,B P U,7285,5.924224853515625
40,B P PL U,439,7.876157760620117
41,P PL,88,4.42194938659668
41,P U,736,5.828142166137695
41,B P,2878,4.605770111083984
41,B U,3194,4.6100616455078125
41,P PL U,17,8.733987808227539
41,B P PL,69,3.4394264221191406
41,B P U,291,2.9821395874023438
41,B P PL U,7,7.290124893188477
42,P PH,60640,2.0580291748046875
42,P U,18396,2.0253658294677734
42,P V,65615,2.714395523071289
42,PH V,1804578,2.170562744140625
42,P PH U,60640,7.045984268188477
42,P PH V,216293,7.320642471313477
42,P U V,65615,5.929470062255859
42,P PH U V,216293,7.628202438354492
43,P U,3679,2.1669864654541016
43,PH U,2425,3.5910606384277344
43,P PH,19813,1.9562244415283203
43,B P,71949,1.928567886352539
43,B PH,47437,2.5162696838378906
43,P PH U,1106,6.799221038818359
43,B P U,7285,5.7315826416015625
43,B PH U,4803,5.159854888916016
43,B P PH,42743,5.85484504699707
43,B P PH U,2191,9.009599685668945
44,P U,3679,4.454135894775391
44,PH U,12127,4.031658172607422
44,P PH,99060,6.298303604125977
44,B P,71949,5.817651748657227
44,B PH,237174,3.1185150146484375
44,P PH U,5532,9.432077407836914
44,B P U,7285,3.521442413330078
44,B PH U,24014,5.555868148803711
44,B P PH,213707,8.210420608520508
44,B P PH U,10954,8.912801742553711
45,PH U,86,2.701997756958008
45,U V,2326,3.8063526153564453
45,B U,113,2.689838409423828
45,PH V,693889,1.5316009521484375
45,B PH,9487,1.5058517456054688
45,B V,256633,1.74713134765625
45,PH U V,699,5.081892013549805
45,B PH U,34,4.741430282592773
45,B U V,921,6.346702575683594
45,B PH V,152459,6.078243255615234
45,B PH U V,277,8.425474166870117
46,C P,6972,2.030611038208008
46,P PL,1110,4.630565643310547
46,P PH,12127,1.8963813781738281
46,P V,13122,4.918098449707031
46,C PL,9560,3.4177303314208984
46,C PH,72922,4.104137420654297
46,C V,41498,4.094362258911133
46,PH PL,11611,4.452943801879883
46,PL V,6607,2.4254322052001953
46,PH V,72181,1.5094280242919922
46,C P PL,420,8.031129837036133
46,C P PH,4596,3.272533416748047
46,C P V,4973,7.97724723815918
46,P PH PL,731,7.383823394775391
46,P PL V,791,3.6177635192871094
46,P PH V,8651,7.030963897705078
46,C PH PL,13964,6.074666976928711
46,C PL V,4179,5.659580230712891
46,C PH V,45653,5.027532577514648
46,PH PL V,7269,5.666255950927734
46,C P PH PL,277,9.168863296508789
46,C P PL V,300,6.383657455444336
46,C P PH V,3278,6.090402603149414
46,P PH PL V,522,7.222890853881836
46,C PH PL V,4597,3.9396286010742188
46,C P PH PL V,197,6.185054779052734
47,C U,34861,2.670764923095703
47,P U,3679,4.385948181152344
47,C P,284754,4.8427581787109375
47,C PH,368673,1.9612312316894531
47,P PH,19813,3.663778305053711
47,P V,107187,5.718231201171875
47,PH V,138776,3.927946090698242
47,C P U,15902,7.9364776611328125
47,C PH U,10484,2.634763717651367
47,P PH U,1106,7.655143737792969
47,P U V,5986,6.271839141845703
47,C P PH,306705,5.803108215332031
47,C P V,1659266,6.06083869934082
47,C PH V,4218586,4.841089248657227
47,P PH V,115450,7.199764251708984
47,C P PH U,4782,7.016181945800781
47,C P U V,25874,4.2705535888671875
47,C PH U V,17059,8.054971694946289
47,P PH U V,1800,3.8421154022216797
47,C P PH V,1787174,4.087924957275391
47,C P PH U V,7781,10.939598083496094
48,B U,683,2.9349327087402344
48,PH U,103,4.2781829833984375
48,B PH,47437,3.632068634033203
48,B V,1283185,2.820253372192383
48,PH V,693889,4.076480865478516
48,C PH,73734,4.263639450073242
48,C V,2635777,4.160165786743164
48,B PH U,205,5.332708358764648
48,B U V,5557,4.978418350219727
48,PH U V,844,3.6611557006835938
48,C PH U,89,2.470254898071289
48,B PH V,762306,5.793333053588867
48,B C PH,81004,5.8002471923828125
48,B C V,2191189,4.827737808227539
48,C PH V,4218637,6.318569183349609
48,B PH U V,1671,6.4105987548828125
48,B C PH U,177,3.6013126373291016
48,B C U V,4804,3.915071487426758
48,C PH U V,729,9.491205215454102
48,B C PH V,1301726,6.80088996887207
48,B C PH U V,1445,4.468679428100586
49,C U,1936,4.699468612670898
49,P U,3679,4.619598388671875
49,C P,15820,4.597663879394531
49,C V,146436,2.0971298217773438
49,P V,107187,2.0165443420410156
49,B P,14389,1.9156932830810547
49,B V,51326,2.9366016387939453
49,C P U,883,8.190155029296875
49,C U V,3151,5.163669586181641
49,P U V,5986,5.879640579223633
49,B P U,1457,5.097150802612305
49,C P V,92185,4.936933517456055
49,B C P,6825,4.64940071105957
49,B C V,24346,2.632617950439453
49,B P V,46247,7.523536682128906
49,C P U V,1437,8.24284553527832
49,B C P U,349,6.297588348388672
49,B C U V,1248,3.4837722778320312
49,B P U V,2370,8.495092391967773
49,B C P V,21937,5.55419921875
49,B C P U V,569,5.234003067016602
50,C U,1936,3.488779067993164
50,P U,736,3.0832290649414062
50,C P,3164,1.9834041595458984
50,C V,732189,1.6884803771972656
50,P V,107218,2.401590347290039
50,B P,14393,5.059957504272461
50,B V,1283185,3.3922195434570312
50,C P U,176,8.387565612792969
50,C U V,15756,2.9103755950927734
50,P U V,5987,7.548093795776367
50,B P U,1457,7.13801383972168
50,C P V,92211,3.403186798095703
50,B C P,6827,7.3184967041015625
50,B C V,608688,2.2742748260498047
50,B P V,231306,5.065679550170898
50,C P U V,1437,10.620594024658203
50,B C P U,349,4.428386688232422
50,B C U V,31201,9.402751922607422
50,B P U V,11856,7.668495178222656
50,B C P V,109721,6.416082382202148
50,B C P U V,2847,8.510589599609375
51,C U,6972,4.545450210571289
51,P U,3679,5.511760711669922
51,PH U,2425,3.2434463500976562
51,B U,3194,3.503084182739258
51,C P,56950,5.357265472412109
51,C PH,73734,3.684520721435547
51,B C,27270,3.3669471740722656
51,P PH,19813,4.992246627807617
51,B P,14389,4.467248916625977
51,B PH,9487,3.0579566955566406
51,C P U,3180,7.863759994506836
51,C PH U,2096,3.005504608154297
51,B C U,2761,2.6340484619140625
51,P PH U,1106,4.454374313354492
51,B P U,1457,4.469156265258789
51,B PH U,960,4.047870635986328
51,C P PH,61341,6.377696990966797
51,B C P,24572,5.650520324707031
51,B C PH,16200,2.2478103637695312
51,B P PH,8548,2.978086471557617
51,C P PH U,956,3.9947032928466797
51,B C P U,1259,9.350061416625977
51,B C PH U,830,6.728887557983398
51,B P PH U,438,6.171464920043945
51,B C P PH,14597,5.738973617553711
51,B C P PH U,378,7.651567459106445
52,C U,34861,2.5670528411865234
52,P U,876,4.106283187866211
52,PH U,60637,4.484653472900391
52,B U,3194,3.782510757446289
52,C P,67802,5.014896392822266
52,C PH,9216430,2.6929378509521484
52,B C,136353,3.7429332733154297
52,P PH,117935,4.451513290405273
52,B P,3426,4.79578971862793
52,B PH,237173,2.8417110443115234
52,C P U,3786,3.8390159606933594
52,C PH U,262105,6.424903869628906
52,B C U,13806,5.246162414550781
52,P PH U,6586,6.988286972045898
52,B P U,346,3.1654834747314453
52,B PH U,24014,3.3669471740722656
52,C P PH,1825650,3.3125877380371094
52,B C P,29254,4.369020462036133
52,B C PH,2025007,1.9774436950683594
52,B P PH,50885,3.47900390625
52,C P PH U,28469,5.587577819824219
52,B C P U,1499,6.293296813964844
52,B C PH U,103802,5.218505859375
52,B P PH U,2608,4.066228866577148
52,B C P PH,434461,6.443977355957031
52,B C P PH U,11274,8.697032928466797
53,P PL,2220,1.768350601196289
53,C P,6972,3.1366348266601562
53,P U,3679,4.720926284790039
53,B P,71949,3.344297409057617
53,C PL,19120,3.077268600463867
53,B U,15970,3.286123275756836
53,C P PL,841,6.833553314208984
53,P PL U,444,4.088640213012695
53,B P PL,8684,3.774881362915039
53,C P U,1394,4.5413970947265625
53,B C P,27270,4.255056381225586
53,B P U,7285,4.611730575561523
53,C P PL U,168,6.15692138671875
53,B C P PL,3291,3.7343502044677734
53,B P PL U,879,5.085468292236328
53,B C P U,2761,6.2427520751953125
53,B C P PL U,333,10.51020622253418
54,P PL,75,3.3249855041503906
54,C P,2355,2.229928970336914
54,P U,248,3.9131641387939453
54,B P,4861,3.734111785888672
54,C PL,47802,2.996206283569336
54,B U,15970,3.462553024291992
54,C P PL,142,6.318092346191406
54,P PL U,15,4.728555679321289
54,B P PL,293,3.4689903259277344
54,C P U,471,7.275581359863281
54,B C P,9213,5.16819953918457
54,B P U,492,4.36854362487793
54,C P PL U,28,9.584665298461914
54,B C P PL,556,6.165027618408203
54,B P PL U,29,4.8313140869140625
54,B C P U,932,8.868694305419922
54,B C P PL U,56,9.141921997070312
55,P T,206,4.178762435913086
55,P U,3679,4.114627838134766
55,P PH,495304,1.9731521606445312
55,B P,14389,4.019260406494141
55,PH U,60637,1.7628669738769531
55,B U,3194,2.7725696563720703
55,B PH,237173,2.0074844360351562
55,P T U,41,2.8045177459716797
55,P PH T,5557,4.152774810791016
55,B P T,161,6.16145133972168
55,P PH U,27660,5.201816558837891
55,B P U,1457,5.949735641479492
55,B P PH,213705,4.994869232177734
55,B PH U,24014,2.4709701538085938
55,P PH T U,310,5.851984024047852
55,B P T U,16,8.325338363647461
55,B P PH T,2397,3.2110214233398438
55,B P PH U,10954,6.690502166748047
55,B P PH T U,122,7.155179977416992
56,P T,1032,2.7773380279541016
56,P U,18395,2.122163772583008
56,P V,2679752,2.9325485229492188
56,B P,359753,3.8690567016601562
56,U V,65612,3.5059452056884766
56,B U,15970,1.8086433410644531
56,B V,1283185,1.7364025115966797
56,P T U,206,5.752086639404297
56,P T V,30067,2.4025440216064453
56,B P T,4036,2.6171207427978516
56,P U V,149654,2.493619918823242
