QueryID,Tables,factorjoin_Estimate
1,U B,79851.0
2,B C U,12296486.0
3,PH C U,4125085.0
4,PH C U,4240229.156862461
5,V C U,10719713.0
6,P B U,1543793.0140281592
7,P C U,61287386.95125084
7,PL P,11101.661843346965
7,PL C P U,59473816.43141949
8,P C U,42725527.814496
8,PL P,9389.02743406362
8,PL C P U,40054266.122076415
9,P C,174305.0
9,PH C P,1043973.0
9,PH P,303187.0
9,PH C P,1043973.0
10,P C U,3915791.921105747
10,U C,168728.0
10,U P,9137.053558361453
10,U C P,3915791.921105747
11,P C U,10616862.854625495
11,U C,73397.03820316277
11,U P,33345.26375583833
11,U C P,2401009.724637918
12,PH C U,266326115.0
12,U C,66867.71172092993
12,U PH,129786.93732538407
12,U C PH,2385073.506094592
13,V C U,13746590.999999998
13,U C,80426.57777777777
13,U V,29014.222222222223
13,U C V,2161996.466666667
14,V C U,13570780.397119911
14,U C,41402.85170447587
14,U V,22959.34319328772
14,U C V,826820.5899679099
15,B C U,12154007.4801889
15,U C,130543.42776983215
15,U B,78519.0
15,U C B,12154007.4801889
16,B C U,12296486.0
16,U C,69898.44423048574
16,U B,67981.27945916835
16,U C B,1536314.358089643
17,T P,596.0
17,V P U,3769391.0
17,V P T U,1467579.2627235155
18,PL P,11101.661843346965
18,PH P,298131.8643975371
18,PH PL P,90010.45959248576
18,PH P PL,90010.45959248576
19,PL P,11102.0
19,U P,89238.24566979677
19,U P PL,147295.99321474374
20,P PH,293986.48573555524
20,U P,78947.06026359054
20,U PH P,148074.902382403
21,P V,315240.262480131
21,U V,34490.3862603745
21,U V P,29273.095581492293
22,P V U,3777067.414046928
22,U V,34524.34196160962
22,U P,88782.0721805166
22,U V P,3542140.991326927
23,B V U,1611310.0
23,U V,29108.0
23,U B,70826.0
23,U V B,787194.0
24,B V U,47732.45901639345
24,U V,691.2295081967213
24,U B,70826.0
24,U V B,27280.327868852462
25,P C,171399.0
25,PL C P,147914.0
25,V C P,926025.9117590284
25,PL P,11102.0
25,V P,261976.4181896973
25,V PL P,77739.47722529834
25,PL C P,147914.0
25,V C P,926025.9117590284
25,V C PL P,1342561.4721015703
25,V P PL,77739.47722529834
25,V C P PL,1342561.4721015703
26,P C,169285.62462984337
26,PL C P,194560.2463419551
26,PL P,11102.0
26,U P,87249.9301578236
26,PL C P,194560.2463419551
26,U C P,146926.97743992717
26,U P PL,140658.2837767508
26,U C P PL,194560.2463419551
27,P C U,42664950.33280258
27,V C U,10528172.363141667
27,U C,66237.99344102533
27,V P U,3724973.8091233927
27,U P,54743.02031249512
27,U V,28067.414134114144
27,V C P U,8271659281.812134
27,U C P,2186315.978815426
27,U C V,1951464.204502636
27,U P V,966903.9341584904
27,U C P V,203118778.96659377
28,P V,290025.0
28,B P U,4881242.298185521
28,U P,89651.57992184669
28,U B,79851.0
28,B V P U,5134072.0
28,U V P,286436.47866056126
28,U P B,4881242.298185521
28,U V P B,5134072.0
29,P V,70899.38817987974
29,B P U,438068.45813584287
29,U P,8916.045329456421
29,U B,70900.08320850041
29,B V P U,3460909.737924329
29,U V P,58868.39144495863
29,U P B,244360.2298741807
29,U V P B,1257828.7022633222
30,P V U,2519548.8380532367
30,B V U,1611310.0
30,U V,34773.0
30,B P U,2187471.513107341
30,U P,36743.05919295512
30,U B,79851.0
30,B V P U,336677094.0600906
30,U V P,2519548.8380532367
30,U V B,1611310.0
30,U P B,2187471.513107341
30,U V P B,336677094.0600906
31,P V U,3762516.750078575
31,B V U,1549026.8636053938
31,U V,33649.729575607606
31,B P U,4614194.381546674
31,U P,85450.83501055872
31,U B,73695.51974419644
31,B V P U,616862357.4770701
31,U V P,2918176.935191272
31,U V B,1327512.583397383
31,U P B,3684903.233800982
31,U V P B,378514893.38838536
32,PH C U,240681692.09114105
32,V C U,13659457.566990623
32,U C,78980.45455792011
