QueryID,Tables,lpbound_Estimate
1,B U,79850.99999999975
2,B C,14309901.204419225
3,C PH,8151020.284583402
4,C PH,13025447.045562401
5,C V,20479330.18707491
6,B P,872890.287061326
7,C P,71161017.21086772
7,P PL,11076.000000000011
7,C P PL,105887039.36750978
8,C P,44608072.309468694
8,P PL,10186.000000000015
8,C P PL,59603177.73144404
9,C P,174304.99999999997
9,P PH,303186.99999999895
9,C PH,1208624.8946448064
9,C P PH,1208624.8946448064
10,C U,171470.0000000001
10,C P,5111710.755352401
10,P U,12830.000000000004
10,C P U,5111710.755352389
11,C U,61706.99999999994
11,C P,7826493.034330001
11,P U,40726.00000000001
11,C P U,876079.6001551459
12,C U,60194.99999999994
12,PH U,147664.99999999953
12,C PH,334206753.7134519
12,C PH U,2095548.1375255957
13,C U,139207.0
13,U V,33321.000000000015
13,C V,32725864.28291057
13,C U V,12108745.10059935
14,C U,20484.00000000002
14,U V,1063.0000000000005
14,C V,1189871.0429886905
14,C U V,24530.760404031505
15,C U,132711.99999999977
15,B U,79850.99999999975
15,B C,14309901.204419225
15,B C U,14309901.20441919
16,C U,52517.00000000003
16,B U,58147.9999999999
16,B C,14309901.204419225
16,B C U,469403.15526376216
17,P T,596.0000000000002
17,P V,6844490.868370618
17,P T V,424352.0000000009
18,P PL,11102.000000000018
18,P PH,303186.99999999895
18,PH PL,116366.58885783135
18,P PH PL,116366.58885783135
19,P PL,11076.000000000011
19,P U,90499.9999999998
19,P PL U,11076.000000000011
20,P PH,300845.0000000002
20,P U,83622.99999999999
20,P PH U,300845.0000000002
21,P V,328063.9999999989
21,U V,34769.999999999985
21,P U V,34769.999999999985
22,P V,6834527.478706631
22,U V,34769.999999999985
22,P U,90418.99999999968
22,P U V,6834498.123818023
23,U V,20333.99999999997
23,B U,62293.99999999996
23,B V,2177432.3931766446
23,B U V,398537.7782679091
24,U V,810.0000000000005
24,B U,62293.99999999996
24,B V,56850.42370994253
24,B U V,20016.61331127513
25,C P,174304.99999999997
25,P PL,11102.000000000018
25,C PL,120153.50140549385
25,C V,1717552.0443415982
25,PL V,260303.09756128583
25,C P PL,120153.50140549385
25,C P V,1717552.0443415982
25,P PL V,260303.09756128583
25,C PL V,3978040.6135357516
25,C P PL V,3978040.6135357614
26,C P,172977.99999999997
26,P PL,11102.000000000004
26,P U,90583.9999999997
26,C PL,189237.5341673726
26,C P PL,189237.5341673726
26,C P U,172977.99999999997
26,P PL U,11102.000000000004
26,C P PL U,189237.53416737352
27,C U,52517.00000000003
27,P U,44954.99999999995
27,U V,810.0000000000005
27,C P,44608072.309468694
27,C V,588554.5385569627
27,P V,194948.45480793118
27,C P U,548247.0459500895
27,C U V,47024.91777770592
27,P U V,30070.770635691675
27,C P V,540707962.546995
27,C P U V,2528659.786538411
28,P V,313960.00000000064
28,P U,90455.99999999987
28,B P,4789508.223595819
28,B U,79850.99999999975
28,P U V,313959.9999999998
28,B P V,55451083.93125036
28,B P U,4789508.223595807
28,B P U V,55451083.93125036
29,P V,98923.00000000007
29,P U,12925.999999999998
29,B P,362324.57555346726
29,B U,68130.00000000009
29,P U V,98923.00000000007
29,B P V,9326172.523735348
29,B P U,200316.6194802617
29,B P U V,2786546.8340900443
30,U V,34788.99999999994
30,P U,38050.999999999935
30,B U,79850.99999999975
30,P V,2871254.350239452
30,B V,2177432.3931766446
30,B P,2006284.6640666444
30,P U V,2871254.350239452
30,B U V,2177432.3931766446
30,B P U,2006284.6640666344
30,B P V,633648677.1744429
30,B P U V,633648677.1744429
31,U V,34788.99999999994
31,P U,42161.999999999935
31,B U,79244.99999999994
31,P V,1250433.101841116
