QueryID,Tables,postgres_Estimate
1,B U,79851
2,B C,11776990
3,C PH,28615011
4,C PH,36672987
5,C V,7414321
6,B P,1472769
7,C P,6641923
7,P PL,6608255
7,C P PL,6271373
8,C P,4147457
8,P PL,4252332
8,C P PL,4273454
9,C P,574412
9,P PH,574406
9,C PH,574386
9,C P PH,574412
10,C U,3199979
10,C P,3334101
10,P U,3372077
10,C P U,3212049
11,C U,7580707
11,C P,7757899
11,P U,7535047
11,C P U,7586812
12,C U,236326484
12,PH U,232321633
12,C PH,243186222
12,C PH U,238740313
13,C U,11408249
13,U V,10589863
13,C V,8971320
13,C U V,9626081
14,C U,39706
14,U V,34017
14,C V,39968
14,C U V,32826
15,C U,11491250
15,B U,10700940
15,B C,11521867
15,B C U,11276618
16,C U,10351593
16,B U,11294755
16,B C,11287774
16,B C U,10265211
17,P T,12429
17,P V,13925
17,P T V,13447
18,P PL,35886
18,P PH,35890
18,PH PL,35889
18,P PH PL,35889
19,P PL,10902
19,P U,10904
19,P PL U,10898
20,P PH,278971
20,P U,278680
20,P PH U,279065
21,P V,31637
21,U V,32760
21,P U V,32098
22,P V,214784
22,U V,240754
22,P U,233605
22,P U V,232353
23,U V,82019
23,B U,72951
23,B V,80803
23,B U V,77484
24,U V,322
24,B U,333
24,B V,332
24,B U V,209
25,C P,59118
25,P PL,59215
25,C PL,59105
25,C V,58928
25,PL V,58975
25,C P PL,59162
25,C P V,59179
25,P PL V,59076
25,C PL V,59259
25,C P PL V,59042
26,C P,19704
26,P PL,19717
26,P U,19765
26,C PL,19716
26,C P PL,19679
26,C P U,19715
26,P PL U,19705
26,C P PL U,19722
27,C U,7597792
27,P U,8981317
27,U V,7834079
27,C P,9952690
27,C V,10117132
27,P V,10121435
27,C P U,7945221
27,C U V,6797038
27,P U V,8922905
27,C P V,8917105
27,C P U V,10382805
28,P V,11137470
28,P U,11166073
28,B P,11595207
28,B U,10745353
28,P U V,10971059
28,B P V,11453751
28,B P U,11061563
28,B P U V,10855981
29,P V,681518
29,P U,682201
29,B P,689363
29,B U,676366
29,P U V,725766
29,B P V,705847
29,B P U,704643
29,B P U V,728766
30,U V,33306877
30,P U,27247774
30,B U,28582880
30,P V,31613342
30,B V,30387184
30,B P,28288367
30,P U V,27596020
30,B U V,23314286
30,B P U,28652417
30,B P V,29742588
30,B P U V,30762347
31,U V,29085444
31,P U,30508427
31,B U,27345278
31,P V,29013048
31,B V,29919449
31,B P,26190568
31,P U V,30397380
31,B U V,28801215
31,B P U,29332437
31,B P V,30501314
31,B P U V,33847922
32,U V,1348793372
32,PH U,1191662035
32,PH V,1272253644
32,C V,1396189501
32,C PH,1226811226
32,PH U V,1311863146
32,C U V,1184349142
32,C PH U,1163705189
32,C PH V,1354149367
32,C PH U V,1396032401
33,U V,6507051
33,PH U,5379924
33,PH V,4810458
33,C V,6806142
33,C PH,4367796
33,PH U V,7498789
33,C U V,5171351
33,C PH U,5953064
33,C PH V,5006424
33,C PH U V,5890715
34,C U,119799170
34,U V,104881406
34,B U,110109204
34,C V,144935007
34,B C,128615405
34,B V,129159154
34,C U V,125759660
34,B C U,121972576
34,B U V,138286980
34,B C V,124892977
34,B C U V,122760247
35,C U,2691216
35,U V,3433701
35,B U,2546479
35,C V,3194786
35,B C,3498963
35,B V,2930838
35,C U V,3110554
35,B C U,3283105
35,B U V,2987336
35,B C V,2627275
35,B C U V,2694809
36,C U,3549694
36,U V,3035282
36,B U,3214401
36,C V,2849189
36,B C,3546209
36,B V,3905131
36,C U V,2828083
36,B C U,3689454
36,B U V,3171065
36,B C V,3464544
36,B C U V,3366352
37,C PL,1660642
37,PH PL,1716043
37,C PH,1717647
37,C V,1717720
37,PH V,1715534
37,C PH PL,1700295
37,C PL V,1727209
37,PH PL V,1663162
37,C PH V,1729331
37,C PH PL V,1681613
38,C U,2404990830
38,PH U,2355286962
38,B U,2289975322
38,C PH,2287239533
38,B C,2379511409
38,B PH,2229506594
38,C PH U,2390142508
38,B C U,2359228900
38,B PH U,2187377414
38,B C PH,2250814280
38,B C PH U,2347364696
39,C U,3491135411
39,PH U,3343561105
39,B U,3463786632
39,C PH,3261904549
39,B C,3294467823
39,B PH,3330893664
39,C PH U,3644411371
39,B C U,3452793864
39,B PH U,3461131866
39,B C PH,3395580640
39,B C PH U,3177212343
40,P PL,313190
40,P U,331361
40,B P,327253
40,B U,328495
40,P PL U,319424
40,B P PL,320946
40,B P U,331492
40,B P PL U,325086
41,P PL,2781
41,P U,2686
41,B P,2802
41,B U,2798
41,P PL U,2754
41,B P PL,2755
41,B P U,2959
41,B P PL U,2782
42,P PH,488898
42,P U,493048
42,P V,492218
42,PH V,487969
42,P PH U,489971
42,P PH V,490059
42,P U V,490653
42,P PH U V,489785
43,P U,14555521
43,PH U,14943949
43,P PH,14261553
43,B P,14100063
43,B PH,14834591
43,P PH U,15007366
43,B P U,14352036
43,B PH U,13996961
43,B P PH,14624066
43,B P PH U,14053202
44,P U,2791201
44,PH U,2868814
44,P PH,2746482
44,B P,2747829
44,B PH,2778237
44,P PH U,2728878
44,B P U,2795749
44,B PH U,2685491
44,B P PH,2804795
44,B P PH U,2855531
45,PH U,17605
45,U V,15383
45,B U,17143
45,PH V,16716
45,B PH,16766
45,B V,16676
45,PH U V,13878
45,B PH U,16762
45,B U V,16559
45,B PH V,17581
45,B PH U V,15673
46,C P,25427
46,P PL,24653
46,P PH,25216
46,P V,25625
46,C PL,25227
46,C PH,24674
46,C V,25078
46,PH PL,25316
46,PL V,25210
46,PH V,25085
46,C P PL,24861
46,C P PH,24776
46,C P V,24859
46,P PH PL,25151
46,P PL V,24735
46,P PH V,25583
46,C PH PL,25039
46,C PL V,24989
46,C PH V,25481
46,PH PL V,25406
46,C P PH PL,24772
46,C P PL V,24836
46,C P PH V,24911
46,P PH PL V,24776
46,C PH PL V,25377
46,C P PH PL V,25255
47,C U,124061965
47,P U,103970908
47,C P,151497368
47,C PH,129995474
47,P PH,154773998
47,P V,123809105
47,PH V,134173755
47,C P U,113449909
47,C PH U,97120704
47,P PH U,89109954
47,P U V,137757514
47,C P PH,107263059
47,C P V,153146282
47,C PH V,141899949
47,P PH V,112864391
47,C P PH U,98232786
47,C P U V,151472264
47,C PH U V,115132885
47,P PH U V,76398611
47,C P PH V,133595308
47,C P PH U V,90141074
48,B U,518969371
48,PH U,587607333
48,B PH,644384136
48,B V,495063371
48,PH V,660580615
48,C PH,482823633
48,C V,611768216
48,B PH U,589558212
48,B U V,669289538
48,PH U V,560944741
48,C PH U,552428871
48,B PH V,680758195
48,B C PH,422065837
48,B C V,661912372
48,C PH V,509803460
48,B PH U V,514837944
48,B C PH U,748781152
48,B C U V,601503457
48,C PH U V,630885154
48,B C PH V,574086029
48,B C PH U V,512930971
49,C U,147909815
49,P U,131466629
49,C P,122833758
49,C V,168838537
49,P V,104197664
49,B P,124057930
49,B V,144704521
49,C P U,129372672
49,C U V,131393581
49,P U V,116278551
49,B P U,121339699
49,C P V,140477202
49,B C P,136474061
49,B C V,135654245
49,B P V,120752834
49,C P U V,146892108
49,B C P U,150443784
49,B C U V,140044585
49,B P U V,151166613
49,B C P V,93117814
49,B C P U V,121266965
50,C U,900976857
50,P U,733729196
50,C P,858114914
50,C V,880404216
50,P V,925021954
50,B P,928525602
50,B V,966218103
50,C P U,778254684
50,C U V,857994611
50,P U V,877343271
50,B P U,802326375
50,C P V,681977269
50,B C P,687122442
50,B C V,749604724
50,B P V,916793315
50,C P U V,921483165
50,B C P U,784405875
50,B C U V,897970191
50,B P U V,641277135
50,B C P V,954073285
50,B C P U V,877552934
51,C U,829857012976
51,P U,946288292549
51,PH U,841531003275
51,B U,925723710299
51,C P,933697784596
51,C PH,895536342006
51,B C,899886342384
51,P PH,910380895130
51,B P,922931572114
51,B PH,881594838731
51,C P U,871636773044
51,C PH U,852386271990
51,B C U,886847188274
51,P PH U,904762564406
51,B P U,884931434798
51,B PH U,938387460581
51,C P PH,891375342062
51,B C P,908527105533
51,B C PH,924977810313
51,B P PH,895014375501
51,C P PH U,958377907961
51,B C P U,910213828441
51,B C PH U,951375251376
51,B P PH U,873216247664
51,B C P PH,910112380711
51,B C P PH U,932288357446
52,C U,80577879081
52,P U,82871779073
52,PH U,79338449488
52,B U,83177480798
52,C P,83225787578
52,C PH,74064574957
52,B C,82875663127
52,P PH,82929883787
52,B P,82771763086
52,B PH,72720696019
52,C P U,87514324326
52,C PH U,80473580274
52,B C U,87949038716
52,P PH U,83244980287
52,B P U,81648606605
52,B PH U,83988755654
52,C P PH,84945401168
52,B C P,84739980338
52,B C PH,77567639282
52,B P PH,74038799550
52,C P PH U,79876510912
52,B C P U,77546402748
52,B C PH U,88957838684
52,B P PH U,81410868470
52,B C P PH,83810332061
52,B C P PH U,86431918245
53,P PL,827062
53,C P,818772
53,P U,788723
53,B P,806257
53,C PL,790914
53,B U,806128
53,C P PL,848087
53,P PL U,792454
53,B P PL,776785
53,C P U,834693
53,B C P,822142
53,B P U,782004
53,C P PL U,839431
53,B C P PL,779533
53,B P PL U,810654
53,B C P U,811236
53,B C P PL U,847864
54,P PL,24686
54,C P,25271
54,P U,24686
54,B P,25558
54,C PL,25527
54,B U,24999
54,C P PL,25486
