QueryID,Tables,safebound_Estimate,safebound_InferenceTime
1,B U,79851.0,0.8540000000000001
2,C B,13321780.138321212,0.812
3,C PH,8247476.000000002,1.039
4,C PH,11512370.589882445,0.8109999999999999
5,C V,20958106.34446118,0.751
6,B P,913718.020138244,0.975
7,C P,67467774.40424436,0.522
7,P PL,11102.0,0.442
7,C P PL,99139960.51403116,0.741
8,C P,47342885.96602018,0.709
8,P PL,10186.0,0.7010000000000001
8,C P PL,59373609.33067831,1.089
9,P C,173901.0,0.383
9,P PH,303089.0,0.33399999999999996
9,C PH,1164362.1188661826,0.166
9,P C PH,1179454.949772613,0.608
10,C U,171470.0,0.247
10,C P,4030249.6583726346,1.2910000000000001
10,U P,12761.000000000004,1.1509999999999998
10,C U P,4030249.6583726346,1.5399999999999998
11,C U,61707.0,2.532
11,C P,7082681.944946451,2.12
11,U P,40725.99999999999,3.649
11,C U P,915924.349079181,6.128
12,U C,58786.0,1.149
12,U PH,141883.0,1.017
12,C PH,305210522.0336394,0.23299999999999998
12,U C PH,2113662.2316255355,1.975
13,U C,77362.0,0.558
13,U V,34698.0,0.391
13,C V,30216040.59042298,0.277
13,U C V,2865174.837495417,0.86
14,U C,20484.0,1.218
14,U V,1085.0000000000005,1.21
14,C V,1133847.7020100562,0.48500000000000004
14,U C V,51436.26466636814,2.047
15,U C,132719.0,0.8099999999999999
15,U B,79851.0,0.46299999999999997
15,C B,13321780.138321212,0.746
15,U C B,13321780.138321212,1.199
16,U C,58786.0,1.423
16,U B,60998.0,1.026
16,C B,13321780.138321212,0.636
16,U C B,537823.4023604052,2.2230000000000003
17,P T,596.0,0.236
17,P V,6992404.993928187,0.29500000000000004
17,P T V,424352.0,0.314
18,P PL,11102.0,0.23299999999999998
18,P PH,303187.0,0.328
18,PL PH,117554.59401709402,0.185
18,P PL PH,117919.0409035409,0.423
19,P PL,11102.0,0.28800000000000003
19,P U,90572.0,0.481
19,P PL U,11102.0,0.666
20,PH P,300837.0,0.533
20,P U,89878.0,0.795
20,PH P U,299843.5592948718,1.299
21,V P,328064.0,0.5760000000000001
21,V U,34789.0,0.516
21,V P U,34789.0,1.211
22,V P,6955221.711752464,0.537
22,V U,34789.0,0.313
22,P U,90320.0,0.6719999999999999
22,V P U,6995153.664923294,0.868
23,U V,20335.0,1.1800000000000002
23,U B,62293.99999999999,1.088
23,V B,2121491.754788866,0.296
23,U V B,339247.256048004,2.314
24,U V,810.0,1.1789999999999998
24,U B,62294.0,0.843
24,V B,58463.98338583994,0.41300000000000003
24,U V B,19162.526315789477,1.692
25,P C,174305.0,0.398
25,P PL,11102.0,0.262
25,C PL,120716.12209272209,0.196
25,C V,1790448.7887445893,0.796
25,PL V,256194.5384615385,0.734
25,P C PL,120808.27587227587,0.546
25,P C V,1790448.7887445893,1.184
25,P PL V,256582.4395604396,1.074
25,C PL V,4321659.515669516,0.892
25,P C PL V,4367670.385651386,1.441
26,P C,172954.0,0.29500000000000004
26,P PL,11102.0,0.161
26,P U,90585.0,0.522
26,C PL,172132.47818521425,0.314
26,P C PL,172132.47818521425,0.397
26,P C U,172953.99999999997,0.771
26,P PL U,11102.0,0.642
26,P C PL U,172132.47818521425,0.882
27,U C,49072.00000000001,1.45
27,U P,42538.0,0.9990000000000001
27,U V,810.0,1.206
27,C P,47342885.96602018,0.755
27,C V,568962.7368421055,1.035
27,P V,192846.1056539278,0.5670000000000001
27,U C P,491956.8438270086,2.399
27,U C V,39140.20862931872,2.5860000000000003
27,U P V,23449.02610985294,2.16
27,C P V,608101419.0736127,1.246
27,U C P V,2592953.5302302446,3.442
28,P V,314319.0,0.523
28,P U,90453.0,0.695
28,P B,4589197.1544389,0.515
28,U B,79851.0,0.337
28,P V U,314318.99999999977,1.018
28,P V B,53911390.349811055,0.7919999999999999
28,P U B,4625711.328984549,0.9510000000000001
28,P V U B,54085097.60158057,1.307
29,P V,97377.00000000004,1.7630000000000001
29,P U,12906.999999999996,2.6940000000000004
29,P B,367939.6934870676,1.497
29,U B,69248.0,1.748
29,P V U,97377.00000000007,4.472
29,P V B,8808750.073458927,3.048
29,P U B,182139.43871955783,4.235
29,P V U B,2802284.584311698,5.9719999999999995
30,U V,34789.0,0.236
30,U P,38051.68677406848,1.22
30,U B,79851.0,0.201
30,V P,3184214.686465353,1.272
30,V B,2121491.754788866,0.33799999999999997
30,P B,2104999.197009194,1.38
30,U V P,3184214.686465353,1.456
30,U V B,2121491.754788866,0.435
30,U P B,2104999.197009194,1.637
30,V P B,734072974.731026,1.578
30,U V P B,734072974.731026,1.706
31,U V,34789.0,0.392
31,U P,42161.99999999999,0.829
31,U B,79232.99999999999,0.569
31,V P,1197140.587034757,0.8109999999999999
31,V B,2143260.942405912,0.521
31,P B,912612.8924085074,1.049
31,U V P,1197140.5870347572,1.201
31,U V B,2143260.942405912,0.894
31,U P B,912612.8924085074,1.431
31,V P B,238646617.90723884,1.26
31,U V P B,238646617.9072388,1.6969999999999998
32,U V,23112.99999999999,1.7489999999999999
32,U PH,159930.0,2.114
32,V PH,31064647.84028087,0.437
32,V C,30313349.075974867,0.303
32,PH C,306282290.93618697,0.41300000000000003
32,U V PH,2437290.677066896,3.871
32,U V C,1490228.7362956523,3.6
32,U PH C,3961021.998234578,3.98
32,V PH C,162151789896.29443,0.631
32,U V PH C,492473461.6201124,6.293
33,U V,1098.0000000000005,1.5579999999999998
33,U PH,65709.0,1.464
33,V PH,1136477.5808886087,0.456
33,V C,1157721.51586421,0.421
33,PH C,305210522.0336394,0.229
33,U V PH,105439.39999999998,2.439
33,U V C,43535.8172541744,2.488
33,U PH C,1336864.4405457904,2.411
33,V PH C,6483744934.715183,0.621
33,U V PH C,23035456.104800794,3.543
34,U C,24617.0,0.757
34,U V,34789.0,0.28200000000000003
34,U B,79851.0,0.254
34,C V,7168938.485896701,0.712
34,C B,4419062.483043862,0.723
34,V B,2121491.754788866,0.311
34,U C V,7186878.321594276,0.9219999999999999
34,U C B,4436129.062053668,0.929
34,U V B,2154802.0770158386,0.472
34,C V B,2297901702.6541343,0.9470000000000001
34,U C V B,2301333017.186745,1.176
35,U C,132719.0,1.0790000000000002
35,U V,1098.0000000000002,0.867
35,U B,78108.0,0.7699999999999999
35,C V,814591.8000000002,0.7919999999999999
35,C B,13242122.32244531,0.63
35,V B,79436.77414519977,0.46099999999999997
35,U C V,541413.5201751032,1.784
35,U C B,6867903.183500558,1.6980000000000002
35,U V B,61361.69761060481,1.4189999999999998
35,C V B,241103648.24211556,1.055
35,U C V B,86966569.7585112,2.363
36,U C,58786.0,1.093
36,U V,1098.0,0.841
36,U B,60998.0,0.48899999999999993
36,C V,814591.8000000002,0.7929999999999999
36,C B,13242122.32244531,0.632
36,V B,79436.77414519977,0.467
36,U C V,68207.29844248875,1.871
36,U C B,537823.4023604052,1.553
36,U V B,20363.32132890316,1.251
36,C V B,241103648.24211556,1.017
