QueryID,Tables,truecardinality_Estimate
1,B U,79851
2,B C,10220614
3,C PH,1458075
4,C PH,1709781
5,C V,7491903
6,B P,428612
7,C P,55900138
7,P PL,10972
7,C P PL,699302
8,C P,36337035
8,P PL,9405
8,C P PL,481420
9,C P,173407
9,P PH,303005
9,C PH,704085
9,C P PH,698213
10,C U,169446
10,C P,780683
10,P U,11630
10,C P U,780683
11,C U,53564
11,C P,1227386
11,P U,32260
11,C P U,326559
12,C U,49655
12,PH U,126748
12,C PH,263105194
12,C PH U,1018612
13,C U,64566
13,U V,23267
13,C V,10984892
13,C U V,315516
14,C U,20126
14,U V,40
14,C V,447953
14,C U V,200
15,C U,132504
15,B U,79610
15,B C,10223864
15,B C U,10223864
16,C U,45485
16,B U,55035
16,B C,10234398
16,B C U,245567
17,P T,596
17,P V,2734033
17,P T V,70752
18,P PL,11091
18,P PH,302620
18,PH PL,63543
18,P PH PL,63500
19,P PL,11050
19,P U,90414
19,P PL U,10895
20,P PH,291926
20,P U,69617
20,P PH U,251068
21,P V,288438
21,U V,31965
21,P U V,26836
22,P V,2704241
22,U V,32918
22,P U,86112
22,P U V,2488080
23,U V,20334
23,B U,62294
23,B V,1056687
23,B U V,144017
24,U V,433
24,B U,62294
24,B V,29072
24,B U V,4582
25,C P,173065
25,P PL,11077
25,C PL,35157
25,C V,670344
25,PL V,45464
25,C P PL,35034
25,C P V,670154
25,P PL V,45455
25,C PL V,176221
25,C P PL V,176191
26,C P,170249
26,P PL,11102
26,P U,77059
26,C PL,32792
26,C P PL,32792
26,C P U,142137
26,P PL U,8528
26,C P PL U,25033
27,C U,42543
27,P U,40496
27,U V,244
27,C P,36980622
27,C V,242937
27,P V,84481
27,C P U,256660
27,C U V,2489
27,P U V,1799
27,C P V,272870860
27,C P U V,42036
28,P V,289619
28,P U,89863
28,B P,3660301
28,B U,79851
28,P U V,284619
28,B P V,16049150
28,B P U,3660301
28,B P U V,16049150
29,P V,93000
29,P U,9872
29,B P,206773
29,B U,60506
29,P U V,59978
29,B P V,2112679
29,B P U,80977
29,B P U V,595820
30,U V,34789
30,P U,37048
30,B U,79851
30,P V,1187068
30,B V,1056687
30,B P,1486002
30,P U V,1187068
30,B U V,1056687
30,B P U,1486002
30,B P V,232039659
30,B P U V,232039659
31,U V,28260
31,P U,38786
31,B U,67113
31,P V,368186
31,B V,956304
31,B P,413771
31,P U V,239532
31,B U V,475290
31,B P U,298796
31,B P V,19383482
31,B P U V,6672465
32,U V,20007
32,PH U,140071
32,PH V,12470361
32,C V,10967392
32,C PH,235010920
32,PH U V,425598
32,C U V,221701
32,C PH U,2038871
32,C PH V,52988984588
32,C PH U V,19402569
33,U V,40
33,PH U,62790
33,PH V,593512
33,C V,505601
33,C PH,263105194
33,PH U V,440
33,C U V,200
33,C PH U,157483
33,C PH V,2724339544
33,C PH U V,6299
34,C U,24049
34,U V,33891
34,B U,77791
34,C V,2201378
34,B C,3321285
34,B V,1056687
34,C U V,2169982
34,B C U,3271463
34,B U V,1012835
34,B C V,596251188
34,B C U V,593169291
35,C U,92013
35,U V,913
35,B U,68895
35,C V,346990
35,B C,10238947
35,B V,41772
35,C U V,70700
35,B C U,1984289
35,B U V,18346
35,B C V,91539518
35,B C U V,3169724
36,C U,46989
36,U V,381
36,B U,57353
36,C V,345663
36,B C,10238947
36,B V,41442
36,C U V,4204
36,B C U,261931
36,B U V,3236
36,B C V,91443369
36,B C U V,52313
37,C PL,35295
37,PH PL,59346
37,C PH,642583
37,C V,865125
37,PH V,1057588
37,C PH PL,206322
37,C PL V,282841
37,PH PL V,371988
37,C PH V,3460999
37,C PH PL V,1633681
38,C U,130707
38,PH U,42002
38,B U,79006
38,C PH,1423047
38,B C,9976404
38,B PH,443440
38,C PH U,1423047
38,B C U,9976404
