QueryID,lpbound_Estimate
1,1334882.999999993
2,1170183.9999999953
3,392548.18290752795
4,1334882.999999993
5,895473.7259127108
6,156694631.3611713
7,34952033.75746085
8,268777033.83462965
9,1855908.0000000037
10,475877.99999999825
11,2993112.0000000107
12,38808998.49952048
13,10885914.042500718
14,53244245.66887776
15,4870959.751793831
16,434318.2576304162
17,93496.57211609387
18,7434862.371975129
19,378975385.2908979
20,12472084.000000041
21,1162163.000000002
22,34227674.00000007
23,54458019.9675722
24,54458019.9675722
25,54458019.9675722
26,38692863.31319215
27,32345815.19758289
28,37740152.04639717
29,21232915.89853122
30,106690522.5857655
31,716472.2100123612
32,716472.2100123612
33,59253999.48506835
34,8100662.070780096
35,16421768.484999087
36,11915175.057056434
37,11915175.057056524
38,22085234.255631384
39,66395630.94392448
40,47625991.27570677
41,1837318297.852378
42,1584787897.9739907
43,1837318297.852378
44,104863889.77236229
45,153571508.70502186
46,114674007.65114774
47,153571508.70502186
48,1126050957.9297438
49,1446147162.5619752
50,1362303390.818046
51,323465762.50026566
52,302841406.64421713
53,77929099.61443083
54,61780708.73522183
55,77929099.61443083
56,1547454209.1752887
57,1547454209.1752887
58,227260245027.53723
59,59685286790.09605
60,395011425170.2004
61,19030659260.868748
62,7715764153.749721
63,302841406.64421415
64,223709376.46108356
65,9495037.958060607
66,1837318297.8523734
67,1547454209.1752887
68,3300818936.4376874
69,2944524055.137551
70,16415402504.651041
