QueryID,lpbound_Estimate
1,7017.850235085449
2,564.0506156741995
3,7017.850235085449
4,564.0506156741995
5,638953.8811275829
6,156694631.3611713
7,34952033.75746094
8,268777033.834629
9,1855908.0000000084
10,475877.9999999994
11,2993112.0000000107
12,24880944.634056546
13,10698124.05008427
14,33793177.31784489
15,77517.12934287667
16,434318.2576304162
17,11492.215528127661
18,81258.19871249924
19,378975385.29089975
20,12472084.000000011
21,1162163.000000002
22,34227674.00000015
23,32912278.935953625
24,13196639.115977038
25,2049605.8469793722
26,23384440.17892728
27,19548534.684654023
28,37740152.046397634
29,21232915.89853122
30,106690522.5857647
31,111942.09099191077
32,111942.09099191077
33,59253999.48506864
34,2178535.0339124314
35,4122.061858356509
36,2880612.8340578955
37,6634572.590444078
38,2586136.319529319
39,11043870.138798418
40,7499854.371752275
41,1264006472.2955186
42,1020116831.7191677
43,1264006472.2955186
44,84843722.35933831
45,9430235.81017528
46,43681053.68479909
47,62644826.28924115
48,378643165.55240345
49,594216778.7289512
50,541410474.3421278
51,315562701.30411834
52,285868345.6847338
53,22363462.080458283
54,19073833.764486887
55,22363462.080458283
56,138980569.70353147
57,138980569.70353147
58,45988005730.32203
59,711947500.5546157
60,105927576895.57695
61,2581860485.247365
62,578024273.8469758
63,285868345.6847345
64,223709376.46108466
65,2718946.8070844524
66,187826851.30382627
67,138980569.70353147
68,259044079.42376152
69,227000896.47257292
70,2071444516.1192994
