query_id,lpbound_no_prefix,cardinality
1,7017.850235085457,1
2,564.0506156741981,1
3,7017.850235085474,1
4,564.0506156742009,1
5,734072.014238862,1
6,164151045.72538,1
7,41335746.41678945,1
8,270904125.77474815,1
9,1855908.0000000084,1
10,475877.9999999994,1
11,2993112.00000004,1
12,26064920.315628,1
13,12652051.835903393,1
14,34060615.32799897,1
15,11069587.19225563,1
16,434318.2576304162,1
17,434318.2576304162,1
18,13204034.448383918,1
19,378975385.29089695,1
20,12290212.999999985,1
21,1162163.000000008,1
22,34065475.99999982,1
23,32912278.935953707,1
24,13196639.115977071,1
25,2217250.3679433702,1
26,22808659.073098242,1
27,19548534.684654023,1
28,37740152.04639745,1
29,21232915.898531273,1
30,106690522.58576497,1
31,111942.09099191077,1
32,111942.09099191077,1
33,61172460.14304743,1
34,2178535.0339124314,1
35,4244.4483324290995,1
36,3126654.078081072,1
37,6634572.590444013,1
38,2586136.319529319,1
39,11043870.138798498,1
40,7499854.3717522565,1
41,1264006472.2955217,1
42,1072143992.5303271,1
43,1264006472.2955217,1
44,104227025.74892995,1
45,12114744.32747943,1
46,46684279.72144581,1
47,68249692.71096356,1
48,378643165.55240625,1
49,594216778.7289482,1
50,541410474.3421332,1
51,315562701.30411994,1
52,285868345.6847324,1
53,25990065.680781912,1
54,22342464.484970793,1
55,25990065.680781912,1
56,138980569.7035318,1
57,138980569.7035318,1
58,45988005730.32226,1
59,711947500.554621,1
60,105927576895.57747,1
61,2601898297.689077,1
62,578024273.8469787,1
63,285868345.6847345,1
64,223709376.46108413,1
65,2718946.8070844254,1
66,187826851.3038272,1
67,138980569.70353147,1
68,259044079.42376024,1
69,227000896.47257292,1
70,2071444516.1192842,1
