query_id,lpbound_partial,cardinality
1,79850.99999999994,1
2,14350378.17063793,1
3,8151020.284583422,1
4,13025447.045562498,1
5,20479087.76664842,1
6,872890.2870613238,1
7,106318061.09202673,1
8,59603177.731446385,1
9,1201869.9907843848,1
10,5106690.453730805,1
11,876079.6001551436,1
12,2079408.5662808088,1
13,3003294.6276487806,1
14,22917.499929093483,1
15,14350378.17063793,1
16,596976.4882329012,1
17,424352.0000000009,1
18,119430.88759725273,1
19,11102.000000000004,1
20,300837.00000000047,1
21,34789.00000000012,1
22,6807883.305277651,1
23,518169.52113304834,1
24,19347.83850959645,1
25,3825084.877117156,1
26,189499.58459340816,1
27,2359319.488140025,1
28,55637621.36320432,1
29,2751371.3715469968,1
30,633665092.0556878,1
31,216716726.7239586,1
32,484150266.4421494,1
33,1301813.5156389452,1
34,1799151280.790322,1
35,84159938.31387115,1
36,1859213.9800935038,1
37,92010564.74750204,1
38,1811637575.5126827,1
39,514481853.2775987,1
40,268237.7913594167,1
41,44616.23404714991,1
42,1590707.246098846,1
43,129288821.5293584,1
44,26252482.067021735,1
45,119093.3492384232,1
46,6042865.265166392,1
47,7292848527.381849,1
48,9063873.766929178,1
49,6756912288.490542,1
50,127091365.2152244,1
51,105797906829.2807,1
52,7671962795.738952,1
53,52538998.28258,1
54,3667112.7669429053,1
55,32179965.577268045,1
56,193504512.00000012,1
57,7881503.999999975,1
58,15390527139648.04,1
59,82549089250.65321,1
60,6752308216.105721,1
61,407057119.1591069,1
62,77637304.66831663,1
63,64207730.45178552,1
64,113562087.1709093,1
65,41409403.79377106,1
66,1478557.9094316405,1
67,1458346.7311239091,1
68,156425075584.37634,1
69,50108014088.63412,1
70,19445333284.99691,1
71,3082197746.2120934,1
72,11166354189.038788,1
73,2038199851.1084912,1
74,3684606035.605445,1
75,462876435.36250657,1
76,23077708.967565987,1
77,1418386696.5767555,1
78,43899656.034634866,1
79,1090887943.574653,1
80,12970171.439657245,1
81,3394910.1619452336,1
82,8509743.514493618,1
83,30882218.46972711,1
84,32726087.537143916,1
85,32721371.44903978,1
86,1203291.7077782932,1
87,1232465.286667339,1
88,14350378.17063793,1
89,1879214.973723074,1
90,4972199.356656591,1
91,69933111.28140904,1
92,254829.77266010467,1
93,6232948.894892706,1
94,6844905.9914416075,1
95,22798200.03356553,1
96,14443840.164099766,1
97,1649636649.649999,1
98,4737973133.121834,1
99,85759247.17761385,1
100,1025744.5437226358,1
101,1179530.3485082584,1
102,15918993.636172384,1
103,27359437.65669984,1
104,357003664.34471565,1
105,101349266931.74524,1
106,36552901.611902714,1
107,1770898599.836416,1
108,1799151280.790322,1
109,77596115.33406417,1
110,77596115.33406417,1
111,87504426.12471107,1
112,87588963.37444475,1
113,101142897.2221446,1
114,295447984.32546335,1
115,194118459.51103038,1
116,5187932026.762775,1
117,1557971.151174568,1
118,1335453.353873834,1
119,1181226295.8950155,1
120,18188469006.781704,1
121,203971346.59361342,1
122,16972449467.404951,1
123,1000188112.2315679,1
124,92688908.08896752,1
125,4563904.37459382,1
126,7645338246.719703,1
127,32050020.001119,1
128,6042865.265166392,1
129,49536665.461172596,1
130,1382228.0939534318,1
131,132074085823.45804,1
132,1053418087.8971472,1
133,475106473.8343213,1
134,73814147.94421706,1
135,310344961045.13586,1
136,4763191166.7516365,1
137,17710116.756315015,1
138,192655807.99999982,1
139,1020394662.1342055,1
140,38890666569.99382,1
141,60852271731.141136,1
142,76572377261.89714,1
143,54685647524.62426,1
144,5397994795.588482,1
145,46271925.90287784,1
146,83088568.48406985,1
